column,protocol,seed,planned_budget,actual_budget,method,V1_r2,V1_rmse,V1_mae,V2_r2,V2_rmse,V2_mae,combined_normalized_rmse,normalized_rmse
8g,row,769539383,100,100,affine,0.7189452599736637,7.145625700598657,3.3804831249285083,0.7747802081412125,12.669926753626317,6.604785695409577,0.8495503259793687,0.8474731852337011
8g,row,769539383,100,100,affine_condition_residual,0.7095719135805265,7.263803932722665,3.536144665272931,0.773594215526588,12.703242452233084,6.636121528338504,0.8585361517156228,0.856008289319304
8g,row,769539383,100,100,target_head_only,0.7963332768245611,6.082818307388306,3.251703388656394,0.802896668389662,11.852714140656635,6.8916027406333145,0.7548162689550234,0.7546168927688703
8g,row,1425370602,30,30,zero_shot,0.35816821173625746,11.911103644623502,7.885729522566865,0.5150162888475274,16.322974953513857,11.67701383176057,1.2876164263149914,1.2634787809722192
8g,row,1425370602,30,30,column_mass_ratio_scaling,0.8790666614349381,5.170284170097577,2.577575165292491,0.8015137873113425,10.44241407847719,6.775558971460313,0.6528587081169075,0.6528503400759329
8g,row,1425370602,30,30,scale_only,0.8364899612762459,6.011925677661878,2.9733768858960015,0.850768389182117,9.054534991386992,5.461770396117721,0.6705710892132652,0.6630914859624655
8g,row,1425370602,30,30,affine,0.7227372834502914,7.828654543772517,3.4230761149076527,0.7931439254886965,10.660311063917833,5.45496037245027,0.8446288524694324,0.8283128370736055
8g,row,1425370602,30,30,affine_condition_residual,0.7288681194150594,7.741617066969082,3.322026795104928,0.788774305534272,10.772316659971374,5.585152583551026,0.8409094245643929,0.8262734327899841
8g,row,1425370602,30,30,target_head_only,0.7587590265992403,7.302422026493471,3.824197853475377,0.8194960765849223,9.958159109352367,5.940354490971219,0.7882062344525906,0.7730831806187259
8g,row,1425370602,50,50,zero_shot,0.35816821173625746,11.911103644623502,7.885729522566865,0.5150162888475274,16.322974953513857,11.67701383176057,1.2876164263149914,1.2634787809722192
8g,row,1425370602,50,50,column_mass_ratio_scaling,0.8790666614349381,5.170284170097577,2.577575165292491,0.8015137873113425,10.44241407847719,6.775558971460313,0.6528587081169075,0.6528503400759329
8g,row,1425370602,50,50,scale_only,0.879057211794262,5.170486167221774,2.5774490794320184,0.8905644599409102,7.753805999381245,4.356696931717205,0.5758444775503841,0.5692440092177222
8g,row,1425370602,50,50,affine,0.8815569854103514,5.11677262429174,2.7172458309613816,0.890348607024774,7.761449115808924,4.3276799583414185,0.5721682387063263,0.5660733527017568
8g,row,1425370602,50,50,affine_condition_residual,0.8833162809055489,5.0786294160413705,2.6612519584250767,0.8906138102407097,7.752057500676969,4.329779873372322,0.5691774380036473,0.5633609024056602
8g,row,1425370602,50,50,target_head_only,0.8599152498079783,5.564636784592779,2.875525727755781,0.8871966245173979,7.872212082290266,4.504069778331812,0.6076597322308412,0.597937228914553
8g,row,1425370602,70,70,zero_shot,0.35816821173625746,11.911103644623502,7.885729522566865,0.5150162888475274,16.322974953513857,11.67701383176057,1.2876164263149914,1.2634787809722192
8g,row,1425370602,70,70,column_mass_ratio_scaling,0.8790666614349381,5.170284170097577,2.577575165292491,0.8015137873113425,10.44241407847719,6.775558971460313,0.6528587081169075,0.6528503400759329
8g,row,1425370602,70,70,scale_only,0.8557350082009842,5.647053080580894,3.481061885834385,0.8486808623083033,9.117644751194582,5.667944946742954,0.6462403915564311,0.6419014638232441
8g,row,1425370602,70,70,affine,0.8251622287562437,6.216687303723001,3.3475269653861064,0.8161066364071903,10.051219708182273,5.832855052891011,0.711806741180068,0.7070827060272632
8g,row,1425370602,70,70,affine_condition_residual,0.8238779029536543,6.23947883999943,3.3455425144457007,0.826047176228707,9.775781353433523,5.679888786961826,0.705967470574808,0.6999624471097382
8g,row,1425370602,70,70,target_head_only,0.8615262282879392,5.53254752293608,3.0224578735793846,0.8876412791962289,7.856681198264211,4.5323264473072005,0.6049050372449383,0.5954179897963362
8g,row,1425370602,100,100,zero_shot,0.35816821173625746,11.911103644623502,7.885729522566865,0.5150162888475274,16.322974953513857,11.67701383176057,1.2876164263149914,1.2634787809722192
8g,row,1425370602,100,100,column_mass_ratio_scaling,0.8790666614349381,5.170284170097577,2.577575165292491,0.8015137873113425,10.44241407847719,6.775558971460313,0.6528587081169075,0.6528503400759329
8g,row,1425370602,100,100,scale_only,0.8659523077913835,5.443410203530056,3.2524520292338206,0.8697372499369069,8.459522683890503,5.110935852775726,0.6140521478525995,0.6085109646743472
8g,row,1425370602,100,100,affine,0.8643831798437125,5.47517709297028,2.9739027067310753,0.857916248620271,8.835028311831078,5.213137459673727,0.6264317592332513,0.6222054225601164
8g,row,1425370602,100,100,affine_condition_residual,0.8628705314219959,5.505627046759901,2.990327881168477,0.8606753161126119,8.748825838368061,5.181676764004784,0.6262403645289097,0.6214566027026086
8g,row,1425370602,100,100,target_head_only,0.8574836802118557,5.612724065110026,3.0478961878237514,0.8879375662843866,7.8463154259677435,4.520719752657242,0.6105663258651159,0.6001831652099094
