column,protocol,seed,method,lambda_C,lambda_W,fold_scores,mean_cv_score,rank,selected
pooled_25g_40g,compound,769539383,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,0.1,0.1,"[0.5778453971273162, 0.48931526703623623, 0.4536407797592361, 0.4400179745767891, 0.3840639684487939]",0.46897667738967436,5,False
pooled_25g_40g,compound,769539383,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,0.1,1.0,"[0.5784072794799259, 0.48982365962702495, 0.4535768562086789, 0.440107839887199, 0.38397940122326246]",0.4691790072852182,6,False
pooled_25g_40g,compound,769539383,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,0.01,0.1,"[0.5756363872545571, 0.49241190168441173, 0.45335201787301616, 0.436978210212775, 0.38761760919583665]",0.46919922524411933,7,False
pooled_25g_40g,compound,769539383,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,0.0,0.0,"[0.5705080990016248, 0.49578219876497004, 0.4563100093538063, 0.431863763255306, 0.39223325769310324]",0.4693394656137621,8,False
pooled_25g_40g,compound,769539383,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,0.01,1.0,"[0.5762218829173917, 0.49292082032135237, 0.4532108533929952, 0.43717035269040627, 0.38745655306495597]",0.46939609247742037,9,False
pooled_25g_40g,compound,769539383,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,0.0,0.01,"[0.5718439825056223, 0.49491337567393195, 0.4552436758791399, 0.43361310191522484, 0.39155607481006677]",0.4694340421567971,10,False
pooled_25g_40g,compound,769539383,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,0.1,10.0,"[0.5788741318578943, 0.49070946776697005, 0.45406539336012397, 0.43993191172185464, 0.38423593094855213]",0.4695633671310791,11,False
pooled_25g_40g,compound,769539383,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,0.1,100.0,"[0.579017817776048, 0.4909573694381873, 0.4542432623063889, 0.43998511833764664, 0.384353592488996]",0.4697114320694533,12,False
pooled_25g_40g,compound,769539383,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,0.01,10.0,"[0.5766508060117644, 0.49376758215350747, 0.4536651359162038, 0.4370044397529907, 0.38768806157895613]",0.4697552050826845,13,False
pooled_25g_40g,compound,769539383,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,1.0,0.0,"[0.5799890398763781, 0.4917154155204823, 0.4549008393696956, 0.4387876470334887, 0.3839106930171211]",0.4698607269634332,14,False
pooled_25g_40g,compound,769539383,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,0.01,100.0,"[0.5767833853371915, 0.49400208168053966, 0.4538327644289771, 0.43705381009976385, 0.3877977075477416]",0.46989394981884275,15,False
pooled_25g_40g,compound,769539383,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,1.0,0.01,"[0.5805409259931398, 0.49155891059931384, 0.454153199103481, 0.43994931296122425, 0.3836753878767399]",0.4699755473067798,16,False
pooled_25g_40g,compound,769539383,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,0.0,0.1,"[0.5737410327296679, 0.49466518804137327, 0.4543169142630025, 0.43632398772510744, 0.39108886891017486]",0.4700271983338652,17,False
pooled_25g_40g,compound,769539383,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,0.0,1.0,"[0.5743652622917425, 0.49514185945178, 0.4541637127815755, 0.43657005016782446, 0.39090140978109833]",0.47022845889480414,18,False
pooled_25g_40g,compound,769539383,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,1.0,0.1,"[0.5817822785910098, 0.4916364418662604, 0.4535840824380268, 0.44200647053534553, 0.3835268162259948]",0.4705072179313275,19,False
pooled_25g_40g,compound,769539383,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,0.0,10.0,"[0.5747783561191687, 0.49597286771650856, 0.45461101146883326, 0.4363966197974841, 0.3911293523034135]",0.4705776414810816,20,False
pooled_25g_40g,compound,769539383,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,0.0,100.0,"[0.5749064122167843, 0.4962028295719705, 0.45477579089760123, 0.4364423716019067, 0.39123701436657354]",0.4707128837309672,21,False
pooled_25g_40g,compound,769539383,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,1.0,1.0,"[0.5824635210159679, 0.4922622983194436, 0.45369786379082794, 0.4418907137548726, 0.3835838311398531]",0.47077964560419305,22,False
pooled_25g_40g,compound,769539383,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,1.0,10.0,"[0.5830595229021568, 0.49337823766526173, 0.45430768307910774, 0.44163257299028963, 0.3839503533852124]",0.4712656740044056,23,False
pooled_25g_40g,compound,769539383,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,1.0,100.0,"[0.5832388785270568, 0.493688682053407, 0.454523159545984, 0.4416892796224528, 0.3841004446510527]",0.4714480888799907,24,False
pooled_25g_40g,compound,769539383,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,10.0,0.0,"[0.58504093882561, 0.49990400822326697, 0.4570197168580092, 0.4424456185781801, 0.38759879493884714]",0.4744018154847828,25,False
pooled_25g_40g,compound,769539383,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,10.0,0.01,"[0.5856015842890507, 0.49975693034901536, 0.4562721640344696, 0.44363164591436705, 0.3873592512030338]",0.4745243151579873,26,False
pooled_25g_40g,compound,769539383,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,10.0,0.1,"[0.5869036753027093, 0.49987080038470805, 0.45577660687001587, 0.44566982619788265, 0.3872133738881699]",0.47508685652869714,27,False
pooled_25g_40g,compound,769539383,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,10.0,1.0,"[0.5878681766227669, 0.5011761062753262, 0.4559580122206475, 0.44533363245414476, 0.38743452314028526]",0.47555409014263417,28,False
pooled_25g_40g,compound,769539383,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,10.0,10.0,"[0.5889896282518463, 0.5034175635020954, 0.4569973433036965, 0.44525436570363536, 0.3882490848019821]",0.47658159711265113,29,False
pooled_25g_40g,compound,769539383,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,10.0,100.0,"[0.5893297532917724, 0.5040342940657677, 0.4573761188986801, 0.44543263427088525, 0.388555035415938]",0.4769455671886087,30,False
pooled_25g_40g,compound,769539383,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,100.0,0.0,"[0.5882993758186108, 0.505535997842763, 0.4597561548199274, 0.4459461392777493, 0.3912125579800069]",0.47815004514781145,31,False
pooled_25g_40g,compound,769539383,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,100.0,0.01,"[0.5888442164938842, 0.5053640975320354, 0.45899041448240335, 0.4471132151971599, 0.3909548708802088]",0.47825336291713827,32,False
pooled_25g_40g,compound,769539383,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,100.0,0.1,"[0.590105645205415, 0.5054312924512875, 0.45845392378580563, 0.4490612070718181, 0.39075319438618494]",0.4787610525801023,33,False
pooled_25g_40g,compound,769539383,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,100.0,1.0,"[0.591359462467322, 0.5073821576279379, 0.4587786476679054, 0.4488246019487671, 0.39123884538438275]",0.4795167430192631,34,False
pooled_25g_40g,compound,769539383,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,100.0,10.0,"[0.5931736616993162, 0.5108883419831357, 0.46047084707448105, 0.44939019619627074, 0.3927982068570223]",0.48134425076204523,35,False
pooled_25g_40g,compound,769539383,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,100.0,100.0,"[0.5937162651550087, 0.5118563692713476, 0.4610623767601481, 0.44979156495466255, 0.3933347654170935]",0.48195226831165205,36,False
pooled_25g_40g,compound,1425370602,HIER_CW_SHARED_LAMBDA_CORRECTED,0.1,0.1,"[0.44604726302183206, 0.5412953906118714, 0.5195617364538861, 0.34705483642277524, 0.49394065506113666]",0.4695799763143003,1,True
