column,protocol,seed,method,V1_rmse,V1_mae,V1_r2,V2_rmse,V2_mae,V2_r2,combined_normalized_rmse,normalized_rmse,nrmse,combined_nrmse,all_outputs_finite
25g,compound,1362771960,OLD_HIER_REFERENCE,6.5895744426427605,4.5907312604718955,0.630613164318778,8.946739379824391,7.044755517247175,0.7991663803608577,0.7103034560247213,0.7103034560247213,0.6963933310766567,0.6963933310766567,True
25g,compound,1362771960,HIER_CW_SHARED_LAMBDA_CORRECTED,6.689047628552512,4.607666028389959,0.6193768025143627,9.318755417906214,7.089208919577367,0.7821173396649039,0.7268517406260632,0.7268517406260632,0.714275528956363,0.714275528956363,True
25g,compound,1362771960,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,6.689047628552512,4.607666028389959,0.6193768025143627,9.318755417906214,7.089208919577367,0.7821173396649039,0.7268517406260632,0.7268517406260632,0.714275528956363,0.714275528956363,True
25g,compound,1362771960,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,6.829439135192267,4.719802858297764,0.6032318938811598,9.880491294101601,7.369302758825422,0.7550576261826346,0.7513063617660396,0.7513063617660396,0.7406547088428077,0.7406547088428077,True
25g,compound,1362771960,CORRECTED_JOINT_FULL128,7.0005440453218535,5.013672270013835,0.5831015682053753,10.36836743263643,7.734388616742071,0.7302710254618374,0.7762919298989505,0.7762919298989505,0.7666856608095514,0.7666856608095514,True
25g,compound,1362771960,M3_CENTER_WIDTH_FULL,6.8126883966666405,4.708997021442879,0.6051758333667898,9.696622195503837,7.257423209602552,0.7640892168930775,0.7454242158456553,0.7454242158456553,0.7338732346989827,0.7338732346989827,True
25g,compound,1362771960,conditional_EA,7.616260117697911,5.284502376541684,0.5065419788483425,9.371477744484205,7.08602561388859,0.7796449545002703,0.79814448683167,0.79814448683167,0.774751086292991,0.774751086292991,True
25g,compound,1362771960,paper_style_current_v2,8.349114146695689,5.930031543956045,0.4070098575100535,12.240590011036279,9.163591384615385,0.6240660513205207,0.9226130318051864,0.9226130318051864,0.9104870481084831,0.9104870481084831,True
25g,compound,1362771960,scale_only,8.293514556032099,5.763486502725727,0.41488140636192505,9.226772035777659,7.295742768083114,0.7863974543540071,0.8477018523006007,0.8477018523006007,0.8132254106204849,0.8132254106204849,True
25g,row,769539383,OLD_HIER_REFERENCE,7.2677545871349905,4.7885183869338785,0.5092712487037443,9.523017377871808,6.862655588773307,0.6456065918529627,0.7751140998492767,0.7751140998492767,0.7573499106620705,0.7573499106620705,True
25g,row,769539383,HIER_CW_SHARED_LAMBDA_CORRECTED,7.211193199790533,4.813142321965496,0.5168797312925775,9.428123939913092,6.756730211385598,0.652634208015288,0.7685882371463578,0.7685882371463578,0.7508095276107285,0.7508095276107285,True
25g,row,769539383,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,7.168751319961317,4.831876602656618,0.5225498587004971,9.481595881565886,6.80231646426935,0.6486828395460018,0.766661068984197,0.766661068984197,0.7497794441464467,0.7497794441464467,True
25g,row,769539383,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,7.252687776960611,4.817832777681363,0.51130380301821,9.387012519985452,6.714549453822853,0.6556569865596986,0.7707558695043915,0.7707558695043915,0.7521639284651545,0.7521639284651545,True
25g,row,769539383,CORRECTED_JOINT_FULL128,7.62105163215136,5.0651304749214106,0.4604014130739995,9.519031589316082,7.17431983145988,0.6459031872556333,0.8018821289040778,0.8018821289040778,0.7796442427670673,0.7796442427670673,True
25g,row,769539383,M3_CENTER_WIDTH_FULL,7.21242390307992,4.870801950780188,0.5167148131093029,9.445683976910985,6.7419295060758335,0.6513390539323753,0.769098170069377,0.769098170069377,0.7514337609001829,0.7514337609001829,True
25g,row,769539383,conditional_EA,7.281481858712445,5.206917642865397,0.5074157296284695,9.606112200926685,6.88434240959798,0.6393949607204639,0.7781293521902711,0.7781293521902711,0.7608053233515373,0.7608053233515373,True
25g,row,769539383,paper_style_current_v2,7.1011461415706005,4.545999385542168,0.5315126196096889,9.190250155537898,6.66714374698795,0.6699413284459579,0.7546365488755138,0.7546365488755138,0.736428365297984,0.736428365297984,True
25g,row,769539383,scale_only,7.56017641318495,5.368358625267207,0.4689873646790662,9.737922882654424,6.998914785891581,0.6294309506234059,0.8023261963546101,0.8023261963546101,0.7825892338897347,0.7825892338897347,True
25g,row,1425370602,OLD_HIER_REFERENCE,10.526361802329081,4.548268541089906,-0.38328750974708625,14.641986236804458,7.923257556555859,0.26156807088052114,1.1432636657046187,1.1432636657046187,1.123329750712052,1.123329750712052,True
25g,row,1425370602,HIER_CW_SHARED_LAMBDA_CORRECTED,10.280940468713712,4.5013465371128145,-0.3195369566061801,14.124504429713335,7.626886805950842,0.3128415099971976,1.1122637052453548,1.1122637052453548,1.0916623114520787,1.0916623114520787,True
25g,row,1425370602,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,10.280940468713712,4.5013465371128145,-0.3195369566061801,14.124504429713335,7.626886805950842,0.3128415099971976,1.1122637052453548,1.1122637052453548,1.0916623114520787,1.0916623114520787,True
