dataset,effective_group_id,canonical_smiles,PE/EA,rows,distinct_loading_conditions,ignored_loading_conditions_differ,V1_range,V2_range
4g,985ab65e6d3535a1,C=CC(=O)OCCCCCCCCCCCC,0/1,3,3,True,0.0333333333333341,1.6416666666666666
4g,5a32e612bb5fa5c2,C=CC(=O)OCCCCCCCCCCCC,1/1,3,3,True,1.2583333333333329,1.2166666666666668
4g,15c11ad1bf6fbee3,C=CC(=O)OCCCCCCCCCCCC,10/1,3,3,True,0.2666666666666666,1.4083333333333332
4g,72876c68d1d0351b,C=CC(=O)OCCCCCCCCCCCC,2/1,3,3,True,0.04999999999999982,0.5583333333333336
4g,6445e7e07ed051fd,C=CC(=O)OCCCCCCCCCCCC,20/1,3,3,True,0.4500000000000002,0.7916666666666679
4g,877adbfcc186b010,C=CC(=O)OCCCCCCCCCCCC,5/1,3,3,True,1.7166666666666668,0.8999999999999995
4g,1bffb71f2f5b0372,C=CC(=O)OCCCCCCCCCCCC,50/1,2,2,True,0.5999999999999996,0.658333333333335
4g,430a415a3896e29a,C=CC(=O)OCCN(CC)CC,0/1,3,3,True,2.116666666666667,2.216666666666665
4g,27d60e41dc962fc5,C=CC(=O)OCCN(CC)CC,1/1,3,3,True,4.799999999999999,0.625
4g,a0ae7be3fc82aac5,C=CC(=O)OCCN(CC)CC,2/1,3,3,True,10.299999999999995,2.2333333333333343
4g,6d1fcbd8e0445e16,C=CC(=O)OCCOC,0/1,3,3,True,0.4083333333333341,1.0583333333333336
4g,bc5a030d441e8ac7,C=CC(=O)OCCOC,1/1,3,3,True,0.4083333333333332,1.3166666666666682
4g,ed34c5cf4becfb0b,C=CC(=O)OCCOC,10/1,3,3,True,5.666666666666668,2.3333333333333286
4g,50dde298770e1e48,C=CC(=O)OCCOC,2/1,3,3,True,2.316666666666668,1.2083333333333357
4g,8b0f3dba29e9748d,C=CC(=O)OCCOC,5/1,3,3,True,3.683333333333337,1.1666666666666643
4g,42ade1dce926f31a,C=CC(=O)OCCOc1ccccc1,0/1,3,2,True,0.35000000000000053,1.2333333333333343
4g,e120cbd58fe8e446,C=CC(=O)OCCOc1ccccc1,1/1,5,3,True,1.0125000000000002,1.8124999999999991
4g,1e1b63c9710d8448,C=CC(=O)OCCOc1ccccc1,10/1,2,1,False,5.104166666666667,6.966666666666663
4g,b2227c2051416d5b,C=CC(=O)OCCOc1ccccc1,2/1,3,3,True,0.18333333333333357,1.2833333333333332
4g,b9b5c4ee4ffa6667,C=CC(=O)OCCOc1ccccc1,5/1,3,2,True,0.7291666666666661,1.9250000000000007
4g,6a25ea681790c546,C=CC(=O)OCc1ccccc1,0/1,3,3,True,0.20000000000000018,0.9916666666666671
4g,02604ee9d1b5d708,C=CC(=O)OCc1ccccc1,1/1,3,3,True,1.1416666666666666,0.7666666666666675
4g,89e93f52157c1291,C=CC(=O)OCc1ccccc1,10/1,3,3,True,0.9750000000000005,0.29166666666666785
4g,4e939dfc292d212c,C=CC(=O)OCc1ccccc1,2/1,3,3,True,1.1833333333333336,1.1749999999999998
4g,8ca702881c78da06,C=CC(=O)OCc1ccccc1,20/1,3,3,True,1.450000000000001,0.25833333333333464
4g,1338fc369b008f59,C=CC(=O)OCc1ccccc1,5/1,3,3,True,15.791666666666664,11.891666666666667
4g,cba8a86c4524cf96,C=CC(=O)OCc1ccccc1,50/1,3,3,True,2.283333333333333,1.1666666666666643
4g,1a9d18cb6de2c63f,C=CC(=O)O[C@@H]1C[C@H]2CC[C@]1(C)C2(C)C,0/1,3,3,True,1.1583333333333332,0.9499999999999993
4g,c51919f2a1d032c5,C=CC(=O)O[C@@H]1C[C@H]2CC[C@]1(C)C2(C)C,1/1,3,3,True,1.125,0.7166666666666668
4g,4ef66924dbcd3041,C=CC(=O)O[C@@H]1C[C@H]2CC[C@]1(C)C2(C)C,10/1,3,3,True,1.1833333333333327,0.41666666666666785
4g,9082a5b1422a4e1c,C=CC(=O)O[C@@H]1C[C@H]2CC[C@]1(C)C2(C)C,2/1,3,3,True,1.25,0.9750000000000005
