outer_seed,source_round,active_label_count,representation,effective_rank,pairwise_kernel_abs_corr,latent_mean_direction_ratio
157,6,525,gradient_a080_trajectory,33.28747810946991,0.1977094458466837,0.51458413258724
157,6,525,latent_a080_trajectory,3.1709208455646687,0.7136803823182516,0.51458413258724
157,6,525,centered_latent_diagnostic,3.544879061242196,0.6618700007059162,0.51458413258724
157,6,525,fused_a050_counterfactual_on_a080_trajectory,14.522817266830428,0.4652121929252713,0.51458413258724
157,6,525,fused_a080,25.93619341553961,0.31211913939489727,0.51458413258724
157,7,557,gradient_a080_trajectory,33.30943238402171,0.18560746953800664,0.5214624911208737
157,7,557,latent_a080_trajectory,3.2069400452137944,0.7209736079641912,0.5214624911208737
157,7,557,centered_latent_diagnostic,3.367133708459832,0.6892883526473773,0.5214624911208737
157,7,557,fused_a050_counterfactual_on_a080_trajectory,14.471651038458234,0.47623494965106816,0.5214624911208737
157,7,557,fused_a080,25.993651789206577,0.31396912179023184,0.5214624911208737
157,8,589,gradient_a080_trajectory,15.34223589718136,0.2233474326573363,0.5588280444005037
157,8,589,latent_a080_trajectory,2.830967374393226,0.7519984485580509,0.5588280444005037
157,8,589,centered_latent_diagnostic,3.070347005532317,0.6934254214856989,0.5588280444005037
157,8,589,fused_a050_counterfactual_on_a080_trajectory,8.069397250223762,0.6045923199058925,0.5588280444005037
157,8,589,fused_a080,12.935793500415224,0.4532321516584923,0.5588280444005037
157,9,621,gradient_a080_trajectory,16.076463409937237,0.22710147966438468,0.5825425853893554
157,9,621,latent_a080_trajectory,2.841604390668458,0.7666783734633666,0.5825425853893554
157,9,621,centered_latent_diagnostic,3.0990057299019105,0.6899363022999773,0.5825425853893554
157,9,621,fused_a050_counterfactual_on_a080_trajectory,8.331166644040703,0.6231479882809562,0.5825425853893554
157,9,621,fused_a080,13.578392684269652,0.4713789548018529,0.5825425853893554
6101,0,333,gradient_a080_trajectory,23.972047050414382,0.20779601118042376,0.5024292359729164
