column,protocol,seed,budget,actual_budget,method,V1_r2,V1_rmse,V1_mae,V2_r2,V2_rmse,V2_mae,combined_normalized_rmse,all_outputs_finite,normalized_rmse,V1_macro_compound_mae,V1_macro_compound_rmse,V1_median_relative_absolute_error,V1_relative_excluded_rows,V1_median_absolute_error,V2_macro_compound_mae,V2_macro_compound_rmse,V2_median_relative_absolute_error,V2_relative_excluded_rows,V2_median_absolute_error
25g,row,1425370602,100,100,standard_shallow_finetune,0.7685620736151727,21.193215982381048,12.489964418367347,0.7989935882276028,31.666433764649085,19.108391285714283,2.357313607564235,True,2.329671970130363,13.58974497881356,14.880101895356407,0.1856509875024353,0,6.872234500000003,20.105522594632767,21.850797824089156,0.17881234224756642,0,9.997473500000002
25g,row,1425370602,100,100,packing_mass_physical_scale,0.72880235469144,22.94153942202455,14.84627478791743,0.39846132427044423,54.78049832974306,45.631595056397565,3.169206163390515,True,3.159487956798645,15.060264360702645,16.536773613474697,0.3139424053013541,0,9.762008774280547,47.38419083094193,48.49005559575384,0.6972786973425387,0,36.58200635910035
25g,row,1425370602,100,100,physics_scale_residual,0.7954588197730796,19.923699282942287,11.561867611536886,0.8225762564722809,29.7508973923491,17.767751148859045,2.2156210916776278,True,2.1895397643236536,12.190105261722696,13.570498205316193,0.1892263848092456,0,6.204732687208693,18.44143815462995,20.34959391315701,0.16102848792960417,0,9.424985366343405
25g,row,1425370602,100,100,raw_column_conditioned,0.35969844927573746,35.251035274980424,22.20519295612245,0.541918813654862,47.80413108955706,29.078835927551022,3.7984013180956855,True,3.723607195961715,22.868824145762712,24.48957609247623,0.5499772642544734,0,13.36449425,29.016587254802257,31.643430105806686,0.3972904186593181,0,17.225278
25g,row,1425370602,100,100,mass_normalized_column_conditioned,0.5250205668828241,30.36106501117565,15.968502783673468,0.6101043541256868,44.1030265330844,26.63677380612245,3.344558392285242,True,3.2982073854133684,16.128895294632766,18.369831811396008,0.24597485515466808,0,7.699989500000001,26.31588336440678,28.93296739559924,0.32063280207112393,0,17.7243085
25g,row,536279090,100,100,scale_only,0.7027418069988096,22.065149736848362,12.795629613207339,0.7923085430429339,28.26202730798633,16.500017398499512,2.3379430562151784,True,2.279118716866906,14.709457231970408,15.293506903306065,0.23422480482501493,0,7.393232388707705,19.32123669513134,20.230155706749134,0.18009525289107095,0,9.769099805630386
25g,row,536279090,100,100,local_identity_shrinkage,0.7018878909608948,22.09681963470581,12.110221816087739,0.8197199317150513,26.331030260340295,14.830238704869712,2.296366517533979,True,2.221071838257604,13.815442103438325,14.413465953842085,0.22779483940361012,0,5.97818648273279,16.925893215547372,17.768558188566303,0.1624653873306256,0,9.022359704461328
25g,row,536279090,100,100,conditional_EA,0.7156851200676841,21.57941946645326,11.353610770793072,0.8285042116650265,25.681520009073125,14.241190934215409,2.241865858878465,True,2.168039858563006,12.708418484205595,13.345362263185223,0.19351698627167266,0,5.515265149375951,15.647295160243498,16.4099424631387,0.18419231784113171,0,7.9908335543597975
25g,row,536279090,100,100,conditional_policy,0.7018878923199734,22.09681958433665,12.110221783702187,0.8197199325774202,26.331030197363116,14.83023865889408,2.2963665122338908,True,2.2210718331027826,13.81544208182293,14.413465935820012,0.22779484063972064,0,5.978186591820039,16.925893122240485,17.768558091040894,0.16246538295582375,0,9.022359957828728
25g,row,536279090,100,100,target_head_only,0.3841898981312628,31.75874752060805,18.67371948979592,0.25819145343807803,53.41213174478395,34.15175927551021,3.693430462046874,True,3.6764217346234416,21.988014101666675,22.97796506083235,0.2832329808444318,0,7.3785995,39.497167222222224,40.94708099586949,0.37661529427643065,0,15.666285999999998
25g,row,536279090,100,100,standard_shallow_finetune,0.6487871120071326,23.984197092573147,13.9079083622449,0.773795617501547,29.49473527534901,16.870618051020408,2.5130381792203997,True,2.4392297438432404,15.33902245138889,15.96833344801764,0.2202433257038802,0,7.172000500000001,18.47070013611111,19.137453486897634,0.16848143671224505,0,8.228094999999998
25g,row,536279090,100,100,packing_mass_physical_scale,0.686125060727012,22.673485268592604,14.33592358584307,0.3971490483759845,48.15029703908401,39.44059437343052,2.936859672195849,True,2.9362709720727387,15.76897896683216,16.2931396851665,0.30749841906113806,0,10.080004584789275,41.76104092799293,42.25619987605824,0.7108626257875961,0,33.28267405033112
25g,row,536279090,100,100,physics_scale_residual,0.721538880548072,21.356114695220732,12.335840649170091,0.8009737558750657,27.666178135955683,15.172511541649707,2.270149878379426,True,2.215595565991385,12.999135781117065,13.702144244954457,0.20156263966653615,0,6.825023059240648,16.799560574023545,17.625889627834173,0.1702971877023866,0,7.853554436612139
25g,row,536279090,100,100,raw_column_conditioned,0.16665354838959723,36.944752162695636,20.36710085714286,0.13987000520877824,57.514326913967736,31.556915744897967,4.170249814399951,True,4.133080696059133,24.689520783611112,25.809555238693726,0.2724869123629772,0,6.960420999999998,38.169410576666664,40.16063162443871,0.2591022919248448,0,10.101038000000003
25g,row,536279090,100,100,mass_normalized_column_conditioned,0.5904592500313095,25.899329617467863,14.679681530612243,0.6765034715370988,35.271896177182605,22.829741224489798,2.794377264727379,True,2.74043065318064,15.732839263888888,16.504867669107274,0.2566789645896312,0,7.54635,23.590729669166667,24.389875529622923,0.29282186518779685,0,14.645927999999996
25g,row,2767143051,100,100,scale_only,0.7568779385588819,17.957346776525515,9.330870931921314,0.7923950378368251,26.7174083474069,14.78108942278204,1.9944289798231374,True,1.9704204179006142,10.129091798214837,10.828083443489827,0.19002732925675708,0,5.370379472710315,15.331778923566377,16.486993375065445,0.19652997022758345,0,9.66710571134167
25g,row,2767143051,100,100,local_identity_shrinkage,0.7713704297957003,17.413905552924525,9.101463112342351,0.7864210663565601,27.099087688654343,18.151308140772123,1.965372487351805,True,1.9478073301216952,9.64693443870095,10.413372076366615,0.20202330356776976,0,4.975134412885842,17.265197213310124,18.78690728758393,0.2478693486235823,0,13.856549305403174
25g,row,2767143051,100,100,conditional_EA,0.7884063708210494,16.75256371830596,8.28136230908172,0.790536112400019,26.836757581691213,17.821514122419153,1.9113750109740626,True,1.89768339822268,8.667243560101412,9.475543723773058,0.1458315255983133,0,4.279701177798319,16.906903302832777,18.498726167370823,0.24512611017367053,0,13.05394210107602
25g,row,2767143051,100,100,conditional_policy,0.7884063708210494,16.75256371830596,8.28136230908172,0.790536112400019,26.836757581691213,17.821514122419153,1.9113750109740626,True,1.89768339822268,8.667243560101412,9.475543723773058,0.1458315255983133,0,4.279701177798319,16.906903302832777,18.498726167370823,0.24512611017367053,0,13.05394210107602
25g,row,2767143051,100,100,target_head_only,0.41658245846659836,27.817604367303815,15.075968051020407,0.28799737675156467,49.478469832994016,28.7697001122449,3.311737981295762,True,3.3039964640642467,15.90281428216374,17.46180545097714,0.2912370481892177,0,6.409530499999999,30.522058614035092,33.156117670148745,0.362356937460371,0,15.234395000000003
25g,row,2767143051,100,100,standard_shallow_finetune,0.8535864271575369,13.935438980944578,8.523348653061225,0.871786259759291,20.996298970029095,13.441271387755101,1.5545750512893965,True,1.5372783642186951,8.821687495614036,9.674854914736628,0.1795148275002837,0,5.294641999999998,13.665453976608186,14.81516618983634,0.18988745733816226,0,8.805604999999998
25g,row,2767143051,100,100,packing_mass_physical_scale,0.7522061698337694,18.129057608652655,11.71505244641888,0.3540948929400567,47.125917928310436,40.76538993047208,2.6349799726580114,True,2.616046985789362,12.138224094182426,12.854813901603972,0.31661477278239974,0,8.946953701972962,39.10969137660941,40.50672166433878,0.7775343203700834,0,36.70996758937835
25g,row,2767143051,100,100,physics_scale_residual,0.8121148566768951,15.786149263986221,9.206247786140393,0.8430968354279964,23.22690345874122,14.412448331146816,1.7465681315538908,True,1.7240889524586689,9.318721359886267,10.285060027438963,0.19549360133430863,0,5.777338015356458,14.669354434637476,15.944521100097777,0.20442766999244077,0,10.432814548612837
25g,row,2767143051,100,100,raw_column_conditioned,0.4242874886264554,27.63330423556577,14.443330984693876,0.502992030665989,41.33873089735585,20.295755857142858,3.074933306002014,True,3.0391455001612826,14.694201077485381,16.562889094293094,0.2581898127607924,0,6.591932999999999,20.845142166666673,23.380898986284244,0.22079020505263686,0,8.061016999999996
25g,row,2767143051,100,100,mass_normalized_column_conditioned,0.8411626674373067,14.51464028639919,9.601924489795918,0.6672527555783954,33.82460215826768,22.674758897959187,1.9773500302816833,True,1.9730079357721801,9.060511001461988,10.10198047325649,0.22953600941529295,0,6.726263999999999,21.11693058040936,23.52485888077946,0.33941333051039013,0,14.768605999999997
25g,row,1362771960,100,100,scale_only,0.7803750660225798,14.826395986267576,8.892757924947531,0.8175359136404076,22.580657099357847,13.032142496000706,1.660310588360262,True,1.6430891787213007,9.546071843717716,10.235190243764714,0.21774121257568418,0,6.225171359147172,13.657949796382802,14.748502298971644,0.19616938476803647,0,8.376432216886197
25g,row,1362771960,100,100,local_identity_shrinkage,0.791665687017046,14.440265410543509,7.940295657593757,0.8714604713530254,18.95248793641107,10.908395248470393,1.5408135855880478,True,1.5057467481185507,8.652261613941095,9.304030028487317,0.17850802632367196,0,4.255569513889531,11.540958933380335,12.33354464725437,0.1372959965447068,0,5.77267283354316
25g,row,1362771960,100,100,conditional_EA,0.8221009113460975,13.343864854688787,7.358971863091495,0.8664571408154844,19.317824335316807,11.492159463962548,1.4682784247065723,True,1.4475376036548622,8.106440539239248,8.75652117351257,0.15925133730852054,0,4.3471095876052805,12.361419595899113,13.210573634233384,0.158804111496551,0,7.229197712713324
