column,protocol,seed,budget,actual_budget,method,target,n,rmse,mae,median_absolute_error
8g,row,536279090,50,50,raw_column_conditioned,width,115,9.47735733994555,5.8286979153623175,4.265625999999994
8g,row,536279090,50,50,mass_normalized_column_conditioned,center,115,10.513023380678423,5.709528925942028,2.5245040000000003
8g,row,536279090,50,50,mass_normalized_column_conditioned,width,115,5.518544011299283,4.050441224057971,2.8938393333333323
8g,row,536279090,70,70,scale_only,center,115,5.828531674895208,4.030721363469166,2.8640906449859784
8g,row,536279090,70,70,scale_only,width,115,4.922702075106959,3.6016459540502934,2.599102427732859
8g,row,536279090,70,70,local_identity_shrinkage,center,115,6.272465017542875,4.036526248896925,2.5866581173572083
8g,row,536279090,70,70,local_identity_shrinkage,width,115,7.884180479669354,5.0036212812105285,3.3118271788466167
8g,row,536279090,70,70,conditional_EA,center,115,6.3251599897051305,4.183848743607481,2.808121334580399
8g,row,536279090,70,70,conditional_EA,width,115,7.8339174783733245,4.835749060595092,3.306335056060222
8g,row,536279090,70,70,conditional_policy,center,115,6.272465017542875,4.036526248896925,2.5866581173572083
8g,row,536279090,70,70,conditional_policy,width,115,7.884180479669354,5.0036212812105285,3.3118271788466167
8g,row,536279090,70,70,target_head_only,center,115,5.356461098544784,3.3740862434782617,2.189396166666665
8g,row,536279090,70,70,target_head_only,width,115,4.078780325153227,2.8354219310144932,1.853481999999996
8g,row,536279090,70,70,standard_shallow_finetune,center,115,7.148460567591973,4.7863433111594205,3.222478333333342
8g,row,536279090,70,70,standard_shallow_finetune,width,115,4.461272909055134,3.2476160269565213,2.2384016666666664
8g,row,536279090,70,70,packing_mass_physical_scale,center,115,5.672298656178817,3.8702725670303124,2.714298057556153
8g,row,536279090,70,70,packing_mass_physical_scale,width,115,10.954446267868217,7.607460438272227,5.404501088460286
8g,row,536279090,70,70,physics_scale_residual,center,115,11.014144695241347,6.262958173626284,3.4497941282311366
8g,row,536279090,70,70,physics_scale_residual,width,115,4.51125247522983,3.3632781332797506,2.3626647576763204
8g,row,536279090,70,70,raw_column_conditioned,center,115,20.752949551060233,9.59271085826087,3.611416333333331
8g,row,536279090,70,70,raw_column_conditioned,width,115,8.939261012647597,5.20943275536232,3.3976053333333347
8g,row,536279090,70,70,mass_normalized_column_conditioned,center,115,13.718225377349826,6.656594627826088,2.9251481666666663
8g,row,536279090,70,70,mass_normalized_column_conditioned,width,115,7.738531010308627,4.959397008115942,3.2571233333333325
8g,row,536279090,100,100,scale_only,center,115,5.619866750732593,3.8307668706200353,2.746607752588039
8g,row,536279090,100,100,scale_only,width,115,4.696288348799454,3.3411026348459734,2.528911178508803
8g,row,536279090,100,100,local_identity_shrinkage,center,115,6.107645052275624,3.8802067003329674,2.493029350835206
8g,row,536279090,100,100,local_identity_shrinkage,width,115,7.451009548437164,4.775772240694789,3.0204958844112397
8g,row,536279090,100,100,conditional_EA,center,115,6.105647122056196,3.9109751641628976,2.52322207986116
8g,row,536279090,100,100,conditional_EA,width,115,7.4578965689234895,4.678202511085058,3.1570112498467573
8g,row,536279090,100,100,conditional_policy,center,115,6.107645052275624,3.8802067003329674,2.493029350835206
8g,row,536279090,100,100,conditional_policy,width,115,7.451009548437164,4.775772240694789,3.0204958844112397
8g,row,536279090,100,100,target_head_only,center,115,5.403927998410296,3.372806280724637,2.035055833333333
8g,row,536279090,100,100,target_head_only,width,115,4.067682809402595,2.8827069852173914,1.9467963333333316
8g,row,536279090,100,100,standard_shallow_finetune,center,115,6.8455776978401035,4.229065586666667,2.5053131666666655
8g,row,536279090,100,100,standard_shallow_finetune,width,115,4.502780568759303,3.189071870144927,2.0326766666666742
8g,row,536279090,100,100,packing_mass_physical_scale,center,115,5.672298656178817,3.8702725670303124,2.714298057556153
8g,row,536279090,100,100,packing_mass_physical_scale,width,115,10.954446267868217,7.607460438272227,5.404501088460286
8g,row,536279090,100,100,physics_scale_residual,center,115,9.919140395860207,5.399251601093024,2.581804684672452
8g,row,536279090,100,100,physics_scale_residual,width,115,4.434969510000106,3.294210981778772,2.610577679993627
8g,row,536279090,100,100,raw_column_conditioned,center,115,19.894859457793153,9.241296927101448,3.9013796999999997
8g,row,536279090,100,100,raw_column_conditioned,width,115,8.509808575416207,5.023457640869565,2.875167000000001
8g,row,536279090,100,100,mass_normalized_column_conditioned,center,115,7.491214266516231,5.598565605797102,3.6077708333333334
8g,row,536279090,100,100,mass_normalized_column_conditioned,width,115,7.1933215101530035,5.502670066666666,4.210416
8g,row,2767143051,30,30,scale_only,center,115,7.607028303008005,4.65207209605997,2.6546088612387404
