column,protocol,seed,method,V1_rmse,V1_mae,V1_r2,V2_rmse,V2_mae,V2_r2,combined_normalized_rmse,normalized_rmse,nrmse,combined_nrmse,all_outputs_finite,Center_rmse,Width_rmse,Var_eC,Var_eW,Cov_eC_eW
25g,row,1425370602,M3_LATENT_TINY_ADAPTER,10.091193268008654,4.412228135538262,-0.2712791292458492,13.882453024597492,7.518828019939652,0.33619135586146043,1.0921935108604788,1.0921935108604788,1.072093885324105,1.072093885324105,True,11.60902621884319,7.073288351662472,126.43666351007947,49.110703464932406,42.675309704324796
25g,row,536279090,M3_CENTER_WIDTH_FULL,10.986362847328621,5.4142637985796025,-0.6664723131940817,15.099831027685127,8.53865586981816,0.14265944810495212,1.1887330467158324,1.1887330467158324,1.1667584556084933,1.1667584556084933,True,12.682142556094774,7.3527662891710115,152.74089513245906,47.71088428029663,46.481092680137216
25g,row,536279090,HIER_CW_25G_40G,11.1108275962225,5.173687804168085,-0.7044452032449906,14.136364175572096,7.985449979187299,0.24857672866935498,1.175049376902559,1.175049376902559,1.1446912559567037,1.1446912559567037,True,12.305705935535604,6.391632785701192,149.19250961286477,40.796608110853505,38.54830024603808
25g,row,536279090,HIER_CW_8G_25G_40G,11.275767653599688,5.262757608193976,-0.7554257412667349,14.420050688630045,8.111731387607046,0.21811520917173088,1.1942145091013066,1.1942145091013066,1.1639804617400258,1.1639804617400258,True,12.54036875895054,6.412347591904142,153.49469818607332,41.10174974521487,40.148544566073895
25g,row,536279090,M3_LATENT_RESIDUAL_RIDGE,10.465066779242274,5.259076663809874,-0.5120781364549345,13.763101452161928,7.654488332807337,0.2877346560732249,1.1173155051679182,1.1173155051679182,1.0921058638966035,1.0921058638966035,True,11.792442420561226,6.452470502373214,137.36946326968132,41.30914807273664,40.69453288761207
25g,row,536279090,M3_LATENT_TINY_ADAPTER,10.650707415857052,5.376812892379093,-0.5661996937013443,14.10413942031037,7.692048972502001,0.2519986597311745,1.1394502638811987,1.1394502638811987,1.1144923186207856,1.1144923186207856,True,12.040929178437358,6.692737300306511,143.36424343102163,44.22259020270035,43.70556772235704
25g,row,2767143051,M3_CENTER_WIDTH_FULL,6.63894131443831,4.403020059748741,0.6336189845335108,10.71244801116958,8.462348167833502,0.5726349695036282,0.7595682059368063,0.7595682059368063,0.7544416781351486,0.7544416781351486,True,7.4907821105315495,9.654890047395465,54.67594570149443,69.37909544448176,29.490029119535407
25g,row,2767143051,HIER_CW_25G_40G,6.4335732515188875,4.339811148438732,0.65593554931245,9.231197425515004,7.168506004078904,0.6826506546827349,0.7058143134101469,0.7058143134101469,0.6953413588983395,0.6953413588983395,True,7.090418092899082,7.219115351242539,49.78477180175588,50.61991546945352,22.767516040756632
25g,row,2767143051,HIER_CW_8G_25G_40G,6.34848745500538,4.314718195773664,0.6649760658980037,9.536223706747714,7.475385287047625,0.6613318236378877,0.7074533821219277,0.7074533821219277,0.6994289876300284,0.6994289876300284,True,7.139598866378591,7.654425073891428,50.97166165920531,54.73288012586565,25.410470814504837
25g,row,2767143051,M3_LATENT_RESIDUAL_RIDGE,6.454400534554958,4.4255578180609145,0.6537042770547108,9.382203549479618,7.209875948730609,0.6721831823509758,0.7111772102879601,0.7111772102879601,0.7013594277022496,0.7013594277022496,True,7.112503103882778,7.551109706373881,50.367690117777826,54.784087342057944,23.88448495629966
25g,row,2767143051,M3_LATENT_TINY_ADAPTER,6.431133329673445,4.451190195468312,0.6561964715555032,10.118526108960733,7.792369268892082,0.6187094501773178,0.7287914323680902,0.7287914323680902,0.7227835912765386,0.7227835912765386,True,7.505213470691267,7.8851237200776225,55.87619722980756,59.87842663763239,31.531470449741935
25g,row,1362771960,M3_CENTER_WIDTH_FULL,5.472436603121068,4.004827932700317,0.6612594826208592,9.109237780886627,6.606766670188477,0.6760306857925604,0.633793513722759,0.633793513722759,0.6305597911343575,0.6305597911343575,True,6.906651861978775,5.919813415769424,47.654871878282805,35.041331585131644,26.526913877238616
