protocol,outer_seed,inner_fold,arm,column,inner_train_count,inner_validation_count,inner_train_ids_sha256,inner_validation_ids_sha256,best_epoch,epochs_run
row,536279090,4,A1,4g,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,422,500
row,536279090,4,A1,25g,265,61,c896824df5ba292c690c28ea1b488db222f83eea99b68e187934cd0bba744c0b,32572a49e1e7b5e05efbabb6de159fe3d5230df9640ef55a426f8f9bd35d74a3,422,500
row,536279090,4,A1,40g,274,74,8353ba7e1c60bec2a68e9a37da8d8703b845d29c83997aad9c6987cda84f1f67,8a34c4a4391a98c38ca296c49c504528081d6b84b4ebadcbed975447f39c8dac,422,500
row,536279090,4,A2,4g,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,309,389
row,536279090,4,A2,25g,265,61,c896824df5ba292c690c28ea1b488db222f83eea99b68e187934cd0bba744c0b,32572a49e1e7b5e05efbabb6de159fe3d5230df9640ef55a426f8f9bd35d74a3,309,389
row,536279090,4,A2,40g,274,74,8353ba7e1c60bec2a68e9a37da8d8703b845d29c83997aad9c6987cda84f1f67,8a34c4a4391a98c38ca296c49c504528081d6b84b4ebadcbed975447f39c8dac,309,389
row,536279090,5,A1,4g,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,388,468
row,536279090,5,A1,25g,259,67,f31b28d15c5fbc8db1f217c464892839b73c9fddfbb4fc30daaf7fe624632d1a,1adc0981e9bcc58855bdad44f846efe2b581a010ddc48794ebe892da8d0e5435,388,468
row,536279090,5,A1,40g,280,68,80a42a4da98dbe2bfadff3b114d3773dbb5685f6158ae72b8d86956856a74d80,11abb7c2b7a851b82ad9a36aa4fdc6fb97032129ecd5cf167c38cfd75b422186,388,468
row,536279090,5,A2,4g,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,379,459
row,536279090,5,A2,25g,259,67,f31b28d15c5fbc8db1f217c464892839b73c9fddfbb4fc30daaf7fe624632d1a,1adc0981e9bcc58855bdad44f846efe2b581a010ddc48794ebe892da8d0e5435,379,459
row,536279090,5,A2,40g,280,68,80a42a4da98dbe2bfadff3b114d3773dbb5685f6158ae72b8d86956856a74d80,11abb7c2b7a851b82ad9a36aa4fdc6fb97032129ecd5cf167c38cfd75b422186,379,459
row,2767143051,1,A1,4g,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,262,342
row,2767143051,1,A1,25g,249,71,5348dab9f495a3f38b3eeba892f0a67784ae9da03f15ed5a65cf2def45342fc6,4a5a2e75aca7d06f4c8d416a699efda59c2313ada1e02d606fd545d54e7c087d,262,342
row,2767143051,1,A1,40g,294,65,08837c259827c15a97ebeb394ba3893b8a25d6696c2c78f0de7c6ab69a38e394,3e6a184197e4b396dcf43a5b82e8ca10748e27a0c3c83b6801fcbce8ec16df9f,262,342
row,2767143051,1,A2,4g,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,126,206
row,2767143051,1,A2,25g,249,71,5348dab9f495a3f38b3eeba892f0a67784ae9da03f15ed5a65cf2def45342fc6,4a5a2e75aca7d06f4c8d416a699efda59c2313ada1e02d606fd545d54e7c087d,126,206
row,2767143051,1,A2,40g,294,65,08837c259827c15a97ebeb394ba3893b8a25d6696c2c78f0de7c6ab69a38e394,3e6a184197e4b396dcf43a5b82e8ca10748e27a0c3c83b6801fcbce8ec16df9f,126,206
row,2767143051,2,A1,4g,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,147,227
row,2767143051,2,A1,25g,266,54,0ade7422967e32b869cbddc76eab7f65d8737a4d06fcbf24b3672d33e2eddeb8,87e0b92ea2f5cbf18c65a4cddc6d20413e34677599e0eab56939b4b9485f996e,147,227
row,2767143051,2,A1,40g,277,82,b7b4b21c0ec6ad20348c57dfc7bafb396ef9879efa56042f904d173c36f3d9bf,7896b5e52b82442dda4b77b0afdea5bebe60267a9ac35fa2b4855987f645a008,147,227
row,2767143051,2,A2,4g,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,78,158
row,2767143051,2,A2,25g,266,54,0ade7422967e32b869cbddc76eab7f65d8737a4d06fcbf24b3672d33e2eddeb8,87e0b92ea2f5cbf18c65a4cddc6d20413e34677599e0eab56939b4b9485f996e,78,158
row,2767143051,2,A2,40g,277,82,b7b4b21c0ec6ad20348c57dfc7bafb396ef9879efa56042f904d173c36f3d9bf,7896b5e52b82442dda4b77b0afdea5bebe60267a9ac35fa2b4855987f645a008,78,158
row,2767143051,3,A1,4g,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,415,495
row,2767143051,3,A1,25g,259,61,329d1683554966ebd270f5c1df39f63ef261667a0aef2bc314ba5b07abda9a07,f33466c360fa880e1b781967be0de8920b42f02d770b1c1bad5d57cdcf7bf4a6,415,495
