protocol,outer_seed,inner_fold,method,column,endpoint,threshold,tail_count,tail_sse,total_sse,tail_rmse,tail_sse_fraction
compound,1425370602,4,A2_PCGRAD,25g,V2,56.35000000000002,12,2030.531541997648,3045.208577857204,13.008111386098188,0.6667955544202672
compound,1425370602,4,A2_PCGRAD,40g,V1,72.255,13,6497.790580386088,11236.411288849524,22.356879134733536,0.5782798807688878
compound,1425370602,4,A2_PCGRAD,40g,V2,109.29500000000002,13,5870.700499450538,16593.65125992554,21.250702249845293,0.3537919658242161
compound,1425370602,5,A2_PCGRAD,4g,V1,9.958333333333334,73,3224.9536286868397,4723.736242021254,6.646611690802531,0.6827124681514615
compound,1425370602,5,A2_PCGRAD,4g,V2,22.503333333333337,75,7204.858592411113,12027.739532756064,9.801264267029442,0.5990201710628644
compound,1425370602,5,A2_PCGRAD,25g,V1,34.11,14,1029.5056518846718,1577.6469823662126,8.575320285083366,0.6525576782333026
compound,1425370602,5,A2_PCGRAD,25g,V2,56.35000000000002,10,833.6159300184893,3961.241018770893,9.130257006341548,0.2104431227658918
compound,1425370602,5,A2_PCGRAD,40g,V1,72.255,11,7796.3367831750675,23474.694248031657,26.622507195595823,0.332116648711145
compound,1425370602,5,A2_PCGRAD,40g,V2,109.29500000000002,11,7570.891360140003,30104.967989821416,26.234764167451903,0.2514831227423907
compound,536279090,1,A2_PCGRAD,4g,V1,9.958333333333334,73,3266.25953528842,4738.139754929616,6.689041882461256,0.6893548321132076
compound,536279090,1,A2_PCGRAD,4g,V2,22.503333333333337,75,6014.161086029057,10617.159297666123,8.954820739712629,0.5664567063010062
compound,536279090,1,A2_PCGRAD,25g,V1,34.9375,12,598.7254311503577,3795.0911716162937,7.063553350063725,0.1577631219055446
compound,536279090,1,A2_PCGRAD,25g,V2,59.7625,15,5432.693553557178,9295.092456783155,19.03101600643395,0.584469017260031
compound,536279090,1,A2_PCGRAD,40g,V1,70.42000000000004,15,10128.517922995468,14554.340344608843,25.985275218856117,0.6959104764062514
compound,536279090,1,A2_PCGRAD,40g,V2,102.19000000000008,16,17657.807593514877,27773.391053646097,33.22067089320563,0.6357814772926965
compound,536279090,2,A2_PCGRAD,4g,V1,9.958333333333334,73,2760.4492281017183,3781.2977719307064,6.1493392317951345,0.7300269364113714
compound,536279090,2,A2_PCGRAD,4g,V2,22.503333333333337,75,4664.056652945987,7828.221678640068,7.885900204750237,0.5958002780723801
compound,536279090,2,A2_PCGRAD,25g,V1,34.9375,13,1668.0845788012175,5152.346318886338,11.327585725534124,0.3237524179395162
compound,536279090,2,A2_PCGRAD,25g,V2,59.7625,12,2476.5141017471938,9827.403332933163,14.365798799426347,0.2520008610461736
compound,536279090,2,A2_PCGRAD,40g,V1,70.42000000000004,14,13667.179272311972,17624.27354284777,31.24463299319463,0.7754747586664839
compound,536279090,2,A2_PCGRAD,40g,V2,102.19000000000008,14,14234.055124379463,22794.54536060403,31.886019243078337,0.6244500558883829
compound,536279090,3,A2_PCGRAD,4g,V1,9.958333333333334,73,3108.8684401603514,4353.858268589902,6.5258898938233845,0.7140490682916122
compound,536279090,3,A2_PCGRAD,4g,V2,22.503333333333337,75,4969.358185019624,8976.782232540943,8.139908422924362,0.5535790059611384
