column,protocol,seed,method,n_train,n_valid,n_test,V1_rmse,V1_mae,V1_r2,V2_rmse,V2_mae,V2_r2,combined_normalized_rmse,normalized_rmse,nrmse,combined_nrmse,all_outputs_finite,center_rmse,center_mae,width_rmse,width_mae
40g,compound,2767143051,M3_CENTER_WIDTH_FULL,360,7,89,14.04834697100684,9.093685496957647,0.7150123917420038,21.121765930279768,13.755327582136454,0.6719695895149767,1.5660047198429654,1.5660047198429654,1.548345069658981,1.548345069658981,True,16.83744714662704,10.801908744266944,12.368168482067682,8.828153368670117
40g,compound,2767143051,MASS_FLOW_SHARED,360,7,89,16.2296940390036,9.695711045578449,0.61963881505752,21.69663748204095,12.872483867005357,0.6538705743664714,1.7412246556712743,1.7412246556712743,1.7046406460484351,1.7046406460484351,True,18.69325183093966,11.101016861980458,8.399014060818715,5.396915765563874
40g,compound,2767143051,ALL_CONTEXT_SHARED_CENTER_WIDTH,360,7,89,16.361741989135123,9.782361199214495,0.6134242507447093,21.918324346888525,13.061137307684868,0.6467612371482395,1.7564809795162444,1.7564809795162444,1.7199144305564542,1.7199144305564542,True,18.873035920347615,11.277655553960024,8.454179249693118,5.417812436556207
40g,compound,1362771960,conditional_EA,355,7,94,16.173766494540754,10.640860375259605,0.664139679352723,22.95333571346752,15.835227603965308,0.6416035523317182,1.7679993167377697,1.7679993167377697,1.7401767120437337,1.7401767120437337,True,,,,
40g,compound,1362771960,scale_only,355,7,94,19.545762763840813,13.903324915707172,0.5094970686462286,22.890646388313804,16.07379944697469,0.6435585579420873,2.022426428168567,2.022426428168567,1.9521954063828044,1.9521954063828044,True,,,,
40g,compound,1362771960,paper_style_current_v2,355,7,94,15.20487135585422,10.77300191489362,0.7031740538543692,21.72362381863174,15.718043234042556,0.6789766471506486,1.6657447102480285,1.6657447102480285,1.6404503218062476,1.6404503218062476,True,,,,
40g,compound,1362771960,M3_CENTER_WIDTH_FULL,355,7,94,16.0666986755239,10.910481004110133,0.6685716473535158,23.02927014701426,16.755876043066092,0.6392283291899331,1.7620381276614463,1.7620381276614463,1.735744432694426,1.735744432694426,True,18.361078535152586,13.210486597874954,15.114739818214614,11.705202734491625
40g,compound,1362771960,MASS_FLOW_SHARED,355,7,94,18.54902126229364,11.970635321056289,0.5582481684783422,23.8438876306132,16.469048257215363,0.6132536604175993,1.967388345148942,1.967388345148942,1.9185946718357196,1.9185946718357196,True,20.827287419561657,13.90637075823874,9.491613626382813,6.53845063090452
40g,compound,1362771960,ALL_CONTEXT_SHARED_CENTER_WIDTH,355,7,94,18.668439625942625,11.988885984994585,0.552541873511349,24.021023180159382,16.568273480325868,0.6074860613618487,1.9806085708077796,1.9806085708077796,1.9316814491043868,1.9316814491043868,True,20.979967274607258,13.995272024044567,9.508116427772233,6.52633940485468
40g,row,769539383,conditional_EA,364,5,87,17.882285493411896,11.366195726330758,0.4120895170043386,16.49083902550165,11.83220995412966,0.7433024820707541,1.7610356549466801,1.7610356549466801,1.6475980600502824,1.6475980600502824,True,,,,
40g,row,769539383,scale_only,364,5,87,18.225562054283134,12.71396054475154,0.3893012706140546,16.595995479167343,12.07149318990888,0.7400182993240612,1.7910314676794554,1.7910314676794554,1.6726510103856524,1.6726510103856524,True,,,,
40g,row,769539383,paper_style_current_v2,364,5,87,14.47478585148574,7.819261609195403,0.6147971867377773,15.961347115154641,10.290737839080458,0.7595220564007742,1.4765203362717207,1.4765203362717207,1.4149089226674607,1.4149089226674607,True,,,,
40g,row,769539383,M3_CENTER_WIDTH_FULL,364,5,87,16.514392801854296,9.734507884465303,0.4985930189580682,16.96343174528469,12.19829727824483,0.7283788422308894,1.659196657104356,1.659196657104356,1.5754973205051939,1.5754973205051939,True,16.082620801262326,10.520349393374895,9.293202087168652,5.806416597893908
40g,row,769539383,MASS_FLOW_SHARED,364,5,87,15.95059468271859,10.338158892794125,0.5322444872515828,16.62784922774531,12.423232657717541,0.739019342769841,1.6073975543747756,1.6073975543747756,1.529284734858508,1.529284734858508,True,15.606368824087804,10.726838153108378,9.358348671222021,5.961211601290681
40g,row,769539383,ALL_CONTEXT_SHARED_CENTER_WIDTH,364,5,87,15.947076458686793,10.327475244064143,0.5324508102415461,16.608723686264565,12.364722136997433,0.7396193633421625,1.6067337741892467,1.6067337741892467,1.5284666588422486,1.5284666588422486,True,15.5933151900272,10.687084781644554,9.365467722951388,5.915447603714872
40g,row,1425370602,conditional_EA,354,6,96,17.333311735378697,10.747999379250652,0.5689099320757789,20.622830899786514,14.569141465259037,0.726333170237806,1.8006214485521403,1.8006214485521403,1.7412734222761346,1.7412734222761346,True,,,,
40g,row,1425370602,scale_only,354,6,96,19.045010175521032,13.686216062175523,0.47956398883328033,20.34614674012213,14.500902604740977,0.7336271578685974,1.9291851341596786,1.9291851341596786,1.8412831980421513,1.8412831980421513,True,,,,
40g,row,1425370602,paper_style_current_v2,354,6,96,16.02823220015688,8.767093364583333,0.6313823107427392,19.06873193872977,11.788728020833332,0.7660251233169535,1.6650172826967968,1.6650172826967968,1.6101257592792724,1.6101257592792724,True,,,,
40g,row,1425370602,M3_CENTER_WIDTH_FULL,354,6,96,16.4932718305945,10.01463881836257,0.6096820221956293,20.539739250889063,14.492460252683985,0.7285339949856826,1.7340100046404887,1.7340100046404887,1.6853848348890328,1.6853848348890328,True,17.877769254064514,11.858574042023884,10.457498474228528,7.0243994579737885
