method,comparator,metric,statistic,n_pairs,directional_wins,ties,mean_difference,median_difference,sample_std_difference,bootstrap_low,bootstrap_high
gradient_maxdet,hybrid,V1_MAE,endpoint,2,1,0,0.05595336715094479,0.05595336715094479,0.11744420955146744,-0.027092229833991732,0.1389989641358813
gradient_maxdet,kernel_ivr,V1_MAE,endpoint,2,0,0,0.02666293860053548,0.02666293860053548,0.02922514952109282,0.0059976371929799654,0.047328240008090994
gradient_maxdet,lcmd,V1_MAE,endpoint,2,0,0,0.13781575419062342,0.13781575419062342,0.02183605500458408,0.12237533162251957,0.15325617675872727
gradient_maxdet,random,V1_MAE,endpoint,2,2,0,-0.3549159410760272,-0.3549159410760272,0.01239651206301412,-0.3636815988188453,-0.3461502833332091
gradient_maxdet,u50_gradient_maxdet,V1_MAE,endpoint,2,1,0,0.0052799766869853215,0.0052799766869853215,0.1112804433877769,-0.07340717944595743,0.08396713281992807
hybrid,kernel_ivr,V1_MAE,endpoint,2,1,0,-0.02929042855040931,-0.02929042855040931,0.14666935907256026,-0.13300132694290134,0.07442046984208273
hybrid,lcmd,V1_MAE,endpoint,2,0,0,0.08186238703967863,0.08186238703967863,0.09560815454688336,0.01425721262284596,0.1494675614565113
hybrid,random,V1_MAE,endpoint,2,2,0,-0.410869308226972,-0.410869308226972,0.12984072161448157,-0.5026805629547266,-0.31905805349921734
hybrid,u50_gradient_maxdet,V1_MAE,endpoint,2,1,0,-0.05067339046395947,-0.05067339046395947,0.22872465293924432,-0.21240614358183874,0.1110593626539198
kernel_ivr,lcmd,V1_MAE,endpoint,2,0,0,0.11115281559008794,0.11115281559008794,0.0510612045256769,0.07504709161442857,0.1472585395657473
kernel_ivr,random,V1_MAE,endpoint,2,2,0,-0.3815788796765627,-0.3815788796765627,0.016828637458078697,-0.39347852334130007,-0.3696792360118253
kernel_ivr,u50_gradient_maxdet,V1_MAE,endpoint,2,1,0,-0.021382961913550158,-0.021382961913550158,0.08205529386668407,-0.07940481663893739,0.036638892811837076
lcmd,random,V1_MAE,endpoint,2,2,0,-0.4927316952666506,-0.4927316952666506,0.034232567067598196,-0.5169377755775726,-0.46852561495572864
u50_gradient_maxdet,lcmd,V1_MAE,endpoint,2,0,0,0.1325357775036381,0.1325357775036381,0.13311649839236098,0.0384081988025915,0.2266633562046847
u50_gradient_maxdet,random,V1_MAE,endpoint,2,2,0,-0.3601959177630125,-0.3601959177630125,0.09888393132476278,-0.43011741615313714,-0.2902744193728879
gradient_maxdet,hybrid,V1_MAE,gap_closed,2,1,0,-0.04703050208488713,-0.04703050208488713,0.09967740639581568,-0.11751307207845574,0.023452067908681484
gradient_maxdet,kernel_ivr,V1_MAE,gap_closed,2,0,0,-0.02301983870090274,-0.02301983870090274,0.025384131848380884,-0.04096913046542627,-0.0050705469363792055
gradient_maxdet,lcmd,V1_MAE,gap_closed,2,0,0,-0.11774960978570775,-0.11774960978570775,0.016711554102270758,-0.12956646301558927,-0.10593275655582624
gradient_maxdet,random,V1_MAE,gap_closed,2,2,0,0.3035530381609285,0.3035530381609285,0.005532608195350477,0.29964089338834793,0.3074651829335091
gradient_maxdet,u50_gradient_maxdet,V1_MAE,gap_closed,2,1,0,-0.005312478301102264,-0.005312478301102264,0.09527935187916932,-0.07268515412192211,0.062060197519717586
hybrid,kernel_ivr,V1_MAE,gap_closed,2,1,0,0.024010663383984387,0.024010663383984387,0.12506153824419658,-0.06442119837410776,0.11244252514207653
hybrid,lcmd,V1_MAE,gap_closed,2,0,0,-0.07071910770082063,-0.07071910770082063,0.08296585229354492,-0.12938482446450772,-0.012053390937133535
hybrid,random,V1_MAE,gap_closed,2,2,0,0.3505835402458156,0.3505835402458156,0.10521001459116616,0.27618882547966644,0.42497825501196484
hybrid,u50_gradient_maxdet,V1_MAE,gap_closed,2,1,0,0.04171802378378486,0.04171802378378486,0.19495675827498501,-0.0961372220306036,0.17957326959817332
