method,active_label_count,combined_normalized_RMSE,V1_RMSE,V2_RMSE,V1_MAE,V2_MAE,V1_R2,V2_R2
lcmd,717,0.5361407927140653,3.6925679708582226,5.565668768526462,1.8046926537291894,2.714171697195771,0.760012041252432,0.8580589812029746
lcmd,749,0.5256935069680594,3.612040356094734,5.493236629866299,1.7517712888100165,2.637963615733085,0.7687889424770045,0.8617242654552183
lcmd,781,0.5396603301370683,3.727507934077222,5.570828740848734,1.7405844277901044,2.5945209038915107,0.7551736726779653,0.8577127407941207
lcmd,813,0.5301628264721392,3.658195548940629,5.480463449576648,1.734925207474249,2.6937661170959473,0.7637283540867755,0.8619856738214535
lcmd,845,0.5308963349427964,3.6400568119748433,5.566483594465453,1.7385455864510662,2.6075345154860607,0.7668893385371446,0.8583891929066542
lcmd,877,0.5377046093540266,3.67865884945356,5.638127312656333,1.7019885884200354,2.5738190538305745,0.7626964636669356,0.8538814277944653
lcmd,909,0.5400415009235089,3.7397484479866288,5.560689258425463,1.7181535776284673,2.5665492468314777,0.7533501570638153,0.8588018686637758
lcmd,941,0.5228759691520255,3.5837356634097013,5.470998282667985,1.6599975644255713,2.5611849860321705,0.775222492347156,0.8630482872047416
lcmd,973,0.5301346923204222,3.648377973478569,5.504397751275068,1.6930912727360532,2.574142648161744,0.7658685361929282,0.8608733259035858
lcmd,1005,0.5187509521829625,3.5372837779405204,5.505413735492827,1.6099607518536865,2.498568937932845,0.7800647134206654,0.8619829096601476
random,333,0.8529759142704674,5.429356303085303,9.919499844208094,2.6507533174052798,4.810769740911983,0.4915396969311431,0.5491565060988396
random,365,0.8099280024914685,5.156415598956974,9.428185224061082,2.6751515299296207,4.790808786305306,0.5413005207159243,0.5937160766422322
random,397,0.8583456332422383,5.452741130034161,10.199589126924698,2.624099604517436,4.865103438603792,0.4778239238044948,0.5281613563502583
random,429,0.8686065076357352,5.542189888560439,10.309973377078212,2.685224459325667,4.906610471739185,0.45600230162347677,0.5166869800106286
random,461,0.8571765381474172,5.478540907679395,10.150358669454462,2.5673966922348352,4.639254150344885,0.4690666097006029,0.5300556589488924
random,493,0.8132831078976348,5.145919220394804,9.712813868172628,2.5355225284036687,4.699536065117632,0.535564486686023,0.571479791922509
random,525,0.7922599834660733,5.061125142732215,9.37405628485978,2.563644293400881,4.530812412428913,0.5475907908292008,0.6010845954112658
random,557,0.8312847661955614,5.278989404197318,9.90688074303003,2.5116609893828556,4.5296614112899745,0.5087845119065417,0.5539229011575334
random,589,0.8144241745580239,5.180156974433631,9.582275772803944,2.710915285763409,4.834826636371567,0.5345866412464857,0.5835673790463614
random,621,0.7605870227496685,4.9115982523948425,8.797242403462008,2.377163366162234,4.090716607279057,0.5795389971081149,0.6489465001958332
random,653,0.7677682822214348,4.985437323256059,8.795156500881767,2.4398774634734046,4.176041770038559,0.567730562109826,0.6490070286972996
random,685,0.7545439258167754,4.745089394177242,9.125310477181152,2.225681549925312,3.962845438675915,0.6012029928190118,0.6202305023024066
random,717,0.787927637963391,5.016339229689304,9.341633259072754,2.279397995066014,4.007659350653633,0.5582224824252755,0.60264802143612
random,749,0.7883187534707194,4.996053781471547,9.36114254368512,2.249937154120393,4.028816766876111,0.5646390240941401,0.601054577825788
random,781,0.774784062129764,4.977665664252125,9.061613550249909,2.233669912500633,3.8157824006297894,0.5660629588160736,0.6268274043738131
random,813,0.7329576981362045,4.687390951755594,8.56870510796259,2.2636099690727765,3.817491996774285,0.6185595735479077,0.6670337525789416
random,845,0.7402181684552522,4.6982200414120125,8.784055619932225,2.1887891384051574,3.904091321021247,0.6142796563952639,0.6500022438847846
random,877,0.7724867650119175,4.918825706304589,9.086071453101235,2.248005082567247,3.7088411723395334,0.5793838988747704,0.6234161692657515
random,909,0.7026995970484813,4.54168446072866,7.968200809142137,2.1362446439351968,3.5068995495208446,0.6442261979435597,0.7120271319773658
random,941,0.6954248727287626,4.572295457695008,7.761435082306226,2.0888522380261687,3.3089776445064043,0.6384902268973967,0.7266293082807804
random,973,0.6950232810303224,4.578007847216984,7.68428247829244,2.1273841795017967,3.498245152923987,0.6384552089184192,0.732152762851236
random,1005,0.7077813986526194,4.609632898931002,8.003402643979456,2.1026924471203374,3.483173751144958,0.6329420591137983,0.7095158555086485
u50_gradient_maxdet,333,0.8529759142704674,5.429356303085303,9.919499844208094,2.6507533174052798,4.810769740911983,0.49153969693114313,0.5491565060988396
u50_gradient_maxdet,365,0.7965765929653412,5.1226178285906165,9.184601580698818,2.510827052793343,4.481405023762362,0.5460341091260223,0.6134084129829718
u50_gradient_maxdet,397,0.7208343798753991,4.68782954809557,8.157935625255272,2.3077314537492017,4.070649849139244,0.6204150235904908,0.6945405616063081
u50_gradient_maxdet,429,0.7034880914806294,4.629255529991931,7.781117935315211,2.287723406613302,3.845298578985018,0.6301410391010617,0.7179190374765609
u50_gradient_maxdet,461,0.7102420194574657,4.670193096798869,7.856073319439688,2.2248313115369216,3.8799699782181705,0.6236902898759467,0.7119192991024617
u50_gradient_maxdet,493,0.6707078356456508,4.476099396091113,7.2647248442003844,2.1706180864100832,3.6451904582176846,0.6540977431931401,0.7562074743141358
u50_gradient_maxdet,525,0.6689075016343813,4.453749886024166,7.275399906748842,2.1878458064237085,3.5531224112430637,0.6573941096027645,0.754830101268948
u50_gradient_maxdet,557,0.6604051763582202,4.4139716763351355,7.124850413891382,2.088010036402183,3.561758060249493,0.6638331408000842,0.765808656408038
u50_gradient_maxdet,589,0.610285157193133,4.063811063276164,6.5450199193820735,1.9793717383766631,3.426385546759736,0.7146616124481158,0.7968688232909793
u50_gradient_maxdet,621,0.630459479317888,4.3008385382835765,6.432906914569145,2.0135617176119944,3.247123236278836,0.6797935232209861,0.8021207428821475
u50_gradient_maxdet,653,0.6022004142298714,4.010619757517022,6.4480291995938765,2.006119991949708,3.340459366210645,0.7218622757049464,0.8025740159932376
u50_gradient_maxdet,685,0.6056586534347065,4.108904739015651,6.309975726817482,1.9338968546270467,3.170924104374947,0.7087996669663869,0.8117660602267038
u50_gradient_maxdet,717,0.5993874365541492,4.060110567100037,6.236406209859503,1.9272870612944915,3.1306223612037494,0.715598886431535,0.8137864119071262
u50_gradient_maxdet,749,0.6053531115526554,4.134136533491521,6.2532295628673555,1.9278782617559822,3.0717137334443967,0.7046625027233877,0.8148066327448424
u50_gradient_maxdet,781,0.5910081580010664,3.976348054865163,6.2379189801026005,1.867394264081685,3.1299288218541683,0.7271698228798521,0.815624739895136
u50_gradient_maxdet,813,0.5695575896602121,3.8162381663691036,6.072883298540595,1.8111160896379026,3.0367643884617648,0.748762690593674,0.8268948017059076
u50_gradient_maxdet,845,0.5293533760303156,3.618848590242477,5.5151646163522745,1.8085092377605485,2.880252085715461,0.7732485789710379,0.8601748609647388
u50_gradient_maxdet,877,0.538541374718976,3.7358649832314295,5.450143738104934,1.824355448178536,2.931289602526658,0.757850598560843,0.8628406273883436
u50_gradient_maxdet,909,0.5250966441086223,3.6784798246209696,5.256029068526043,1.829839778318108,2.8305095954478787,0.7628195482051031,0.8735476017658033
u50_gradient_maxdet,941,0.5212067560665234,3.6304373592340164,5.258649696712732,1.7518855279012264,2.7282714566452615,0.7703230551606786,0.8731373506901348
u50_gradient_maxdet,973,0.518899660745438,3.604491148425672,5.282386069052176,1.7223881192916304,2.6988110770996236,0.7727908713327226,0.8722837517091595
u50_gradient_maxdet,1005,0.5219238845158712,3.591811531843415,5.377371087619197,1.7424965293573247,2.7360276243955397,0.7760056206446596,0.8668165027525643
