outer_seed,strategy,selection_origin,query_rank,sample_id,canonical_smiles
525,pretrained_hybrid,historical_E4_round1,9,7e451fd74af5bfa51ac9,O=C(c1ccccc1)c1cccc(C(=O)c2ccccc2)c1
525,pretrained_hybrid,historical_E4_round1,10,0b9968c1280b5e4f726a,C=CC(=O)O[C@@H]1C[C@H]2CC[C@]1(C)C2(C)C
525,pretrained_quantile_width,historical_E4_round1,1,3d5dc8831f4c74f7b7d1,COc1ccc(CCO)cc1
525,pretrained_quantile_width,historical_E4_round1,2,bd0519702a5756bc3c94,CCOC(=O)C(Cc1ccccc1)C(C)=O
525,pretrained_quantile_width,historical_E4_round1,3,47404d0982a587f0393e,COCCOC(=O)CC(C)=O
525,pretrained_quantile_width,historical_E4_round1,4,82fa7e7b3bd183853280,CCOC(=O)c1cccnc1
525,pretrained_quantile_width,historical_E4_round1,5,f95928e2618ed15e654f,COc1ccc(C=O)cc1
525,pretrained_quantile_width,historical_E4_round1,6,07e9bc7a9d27fdd58c2f,O=C(c1ccccc1)c1cccc(C(=O)c2ccccc2)c1
525,pretrained_quantile_width,historical_E4_round1,7,f5634113e0822bda1c03,CC(=O)c1ccc2c(c1)OCO2
525,pretrained_quantile_width,historical_E4_round1,8,f1afcbd393ce4f5a6316,COc1ccc(CO)cc1
525,pretrained_quantile_width,historical_E4_round1,9,10d51839b15b94f0ae56,CCOC(=O)/C=C(/C)N
525,pretrained_quantile_width,historical_E4_round1,10,7a0a82051f50d5b0c89c,OCCCc1ccccc1
1101,transfer_shift,D43_new,1,7ba2cf5e6ca289d9810f,CCOC(=O)c1cccnc1
1101,transfer_shift,D43_new,2,d31d42caff135d7154c4,CCOC(=O)/C=C(/C)N
1101,transfer_shift,D43_new,3,47404d0982a587f0393e,COCCOC(=O)CC(C)=O
1101,transfer_shift,D43_new,4,3d5dc8831f4c74f7b7d1,COc1ccc(CCO)cc1
1101,transfer_shift,D43_new,5,bd0519702a5756bc3c94,CCOC(=O)C(Cc1ccccc1)C(C)=O
1101,transfer_shift,D43_new,6,f5634113e0822bda1c03,CC(=O)c1ccc2c(c1)OCO2
1101,transfer_shift,D43_new,7,07e9bc7a9d27fdd58c2f,O=C(c1ccccc1)c1cccc(C(=O)c2ccccc2)c1
1101,transfer_shift,D43_new,8,10d51839b15b94f0ae56,CCOC(=O)/C=C(/C)N
1101,transfer_shift,D43_new,9,e6886d2fb3090517172b,CCOC(=O)/C=C(/C)N
1101,transfer_shift,D43_new,10,9c7a6ce4172638d2abc7,CCOC(=O)CC(C)=O
1101,transfer_shift_uncertainty,D43_new,1,3d5dc8831f4c74f7b7d1,COc1ccc(CCO)cc1
1101,transfer_shift_uncertainty,D43_new,2,47404d0982a587f0393e,COCCOC(=O)CC(C)=O
1101,transfer_shift_uncertainty,D43_new,3,07e9bc7a9d27fdd58c2f,O=C(c1ccccc1)c1cccc(C(=O)c2ccccc2)c1
1101,transfer_shift_uncertainty,D43_new,4,f95928e2618ed15e654f,COc1ccc(C=O)cc1
1101,transfer_shift_uncertainty,D43_new,5,3545611fd9950a160288,C/C(=N\O)c1ccccc1
