outer_seed,method,round,active_label_count,V1_RMSE,V2_RMSE,V1_MAE,V2_MAE,V1_R2,V2_R2
2357,lcmd,6,525,3.1700074521819483,5.333809426330227,1.7298922607366987,3.004499245604737,0.8124682441897405,0.8683904877233669
2357,lcmd,7,557,3.2242605600058756,5.335297993150786,1.8559216492467647,3.157207168835244,0.8059942886837264,0.8683170179478512
2357,lcmd,8,589,3.100445908573249,5.06789953387926,1.7518601720567515,3.057367817675181,0.8206082067261316,0.8811858174845386
2357,lcmd,9,621,3.1604690060070673,5.02311949705578,1.6623357943207813,2.788073862199303,0.8135950998353696,0.8832762288702742
2357,lcmd,10,653,3.039343953681346,4.505952668348265,1.7244209099730714,2.616539403974867,0.8276092516779978,0.9060740618594074
2357,lcmd,11,685,3.0437234372410518,4.768961053650488,1.728566004503831,2.88760430235371,0.8271120875542439,0.8947893164923635
2357,lcmd,12,717,2.962800291320714,4.6318613596686635,1.7202764512251894,2.766995713579283,0.836182983986031,0.9007516274810327
2357,lcmd,13,749,3.0329108718631255,4.556798299371445,1.6337515661756483,2.5593536111662427,0.8283382446091464,0.9039423623833711
2357,lcmd,14,781,2.915179422603445,4.575898805128017,1.661018325842256,2.781243722215831,0.8414067011003215,0.9031353945723375
2357,lcmd,15,813,3.0276399056325265,4.760903107432533,1.6515855160262658,2.903502391110793,0.8289343960275161,0.8951445577224554
2357,lcmd,16,845,2.833989975469932,4.114731802879174,1.6662457572470466,2.431167184020118,0.8501175191580514,0.921675910117965
2357,lcmd,17,877,2.9535823421630156,4.593895006414775,1.6616021734919193,2.630920633137655,0.8372007426672446,0.9023719936100242
2357,lcmd,18,909,3.080576606449333,4.49233766889202,1.7241809911293378,2.6568446548150884,0.8229001147895055,0.9066408097610362
2357,lcmd,19,941,2.7069668099109347,4.02675747466935,1.5419537540820005,2.255724555868611,0.8632522733046444,0.9249892966679152
2357,lcmd,20,973,2.90836064119686,4.2105726261886405,1.6207168914145418,2.328725374573998,0.8421477520860976,0.9179847494490051
