column,protocol,seed,planned_budget,target,slope,intercept
40g,compound,1425370602,100,V1,14.001766642799522,-28.475612039787947
40g,compound,1425370602,100,V2,9.830229686805232,-54.9386796408278
40g,compound,536279090,30,V1,12.131428058881522,-12.803786374489334
40g,compound,536279090,30,V2,9.17826544646997,-49.383320922071874
40g,compound,536279090,50,V1,11.703208299773566,-15.135890071871424
40g,compound,536279090,50,V2,8.747119598936656,-37.76618273251955
40g,compound,536279090,70,V1,12.768681780832129,-17.46036726902035
40g,compound,536279090,70,V2,9.1839747937714,-39.94928556744774
40g,compound,536279090,100,V1,12.87300337756134,-16.573326329148106
40g,compound,536279090,100,V2,9.387068549264125,-44.28966314368584
40g,compound,2767143051,30,V1,13.35762375618453,-25.18974703595112
40g,compound,2767143051,30,V2,7.826851534089116,-14.862738771317801
40g,compound,2767143051,50,V1,12.886756283568264,-24.99395297911393
40g,compound,2767143051,50,V2,7.50273259529355,-13.924108751868138
40g,compound,2767143051,70,V1,13.13420220517279,-26.62992135897109
40g,compound,2767143051,70,V2,7.81868308305322,-21.96355463238403
40g,compound,2767143051,100,V1,13.497994558544121,-20.032694495481923
40g,compound,2767143051,100,V2,8.223284532131114,-18.041077519330273
40g,compound,1362771960,30,V1,39.0731046997757,-142.06392103289284
40g,compound,1362771960,30,V2,12.929900467582682,-88.53545547234343
40g,compound,1362771960,50,V1,29.137113936597203,-102.14207140745101
40g,compound,1362771960,50,V2,9.409928549484436,-47.13817299805731
40g,compound,1362771960,70,V1,11.215757534601856,-10.088149427354953
40g,compound,1362771960,70,V2,8.164061507489183,-30.934196713664196
40g,compound,1362771960,100,V1,12.649487588229057,-17.94155329350209
40g,compound,1362771960,100,V2,8.799818861723299,-38.70197498108347
