column,protocol,seed,fold,method,selected_penalty,free_coefficients,projection_frequency,raw_v2_lt_v1_rate,V1_rmse,V1_mae,V1_r2,V2_rmse,V2_mae,V2_r2,combined_normalized_rmse,normalized_rmse,nrmse,combined_nrmse,all_outputs_finite
40g,row,1362771960,4,M2_MAG,0.1,8,,,9.942429978611639,7.237868092914507,0.7995424947120104,14.690544633588852,11.062003131277066,0.7884399829160655,1.101614889903518,1.101614889903518,1.0877868639961508,1.0877868639961508,True
40g,row,1362771960,4,M3_CENTER_WIDTH,0.1,6,0.0,0.0,10.668831011777545,7.999343116566387,0.7691813420957182,13.535959630584658,10.048957868386202,0.8203877719119318,1.1274204064202338,1.1274204064202338,1.097971224897094,1.097971224897094,True
25g,compound,769539383,0,M2_WIDTH,0.0,8,,,12.263123211922887,5.244832383263715,-0.3410554849218215,13.490246874006264,6.702432138528346,0.41613026123872043,1.2502418025415094,1.2502418025415094,1.1977145497075161,1.1977145497075161,True
25g,compound,769539383,1,M2_WIDTH,0.0,8,,,6.5912472191683555,4.935266434928961,0.6059700878862035,9.403695749329565,6.717893452302109,0.7365800265554417,0.7217552733715004,0.7217552733715004,0.7107114035958202,0.7107114035958202,True
25g,compound,769539383,2,M2_WIDTH,0.0,8,,,6.843276412038881,5.096243144950374,0.5392228509405828,10.251747969444068,8.229121240548094,0.594944753803125,0.7618689506719115,0.7618689506719115,0.7530793038684243,0.7530793038684243,True
25g,compound,769539383,3,M2_WIDTH,0.0,8,,,6.3920613382555835,4.3707932952948685,0.4978470709741196,8.12897306261951,5.684082020383944,0.7128915661704165,0.6759205060131737,0.6759205060131737,0.6584266534561741,0.6584266534561741,True
25g,compound,769539383,4,M2_WIDTH,0.0,8,,,5.436321930943664,4.074610242192097,0.6783754802778202,9.465419410416757,7.104556372382776,0.6953403958854889,0.6413428942047131,0.6413428942047131,0.6393458558989191,0.6393458558989191,True
25g,compound,1425370602,0,M2_WIDTH,0.0,8,,,6.3985091195415436,3.912184788097912,0.5501720971967431,9.723863632233382,5.791699890824252,0.7415881282742316,0.7159724532000435,0.7159724532000435,0.7084389300276257,0.7084389300276257,True
25g,compound,1425370602,1,M2_WIDTH,0.0,8,,,10.770537700150152,4.535947600963709,-0.19188790314234883,14.418495958571823,7.811370429537428,0.2539599365258335,1.1560121589717502,1.1560121589717502,1.131872982295267,1.131872982295267,True
25g,compound,1425370602,2,M2_WIDTH,0.0,8,,,7.478445294889408,5.394283182141696,0.4750772964043207,10.796045981009273,7.6484368356068755,0.6601776210609289,0.8221087243666197,0.8221087243666197,0.8103120059283053,0.8103120059283053,True
25g,compound,1425370602,3,M2_WIDTH,0.0,8,,,6.690185641469437,4.993867432162411,0.6060828664239677,8.212394352780326,6.125418121682544,0.7717139142934184,0.7006521195089801,0.7006521195089801,0.6799384974785774,0.6799384974785774,True
