scope,outer_seed,method,metric,target,crossing,random_labels,method_labels,saved_labels,incremental_saving,status
cohort_mean,,hybrid,V2_R2,N90,first_observed_labels,,685.0,,,CENSORED_COMPARISON
cohort_mean,,hybrid,V2_R2,N90,sustained_labels,,685.0,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V2_R2,N90,interpolated_labels,,819.6864783835797,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V2_R2,N90,first_observed_labels,,845.0,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V2_R2,N90,sustained_labels,,845.0,,,CENSORED_COMPARISON
cohort_mean,,lcmd,V2_R2,N90,interpolated_labels,,737.1307747700594,,,CENSORED_COMPARISON
cohort_mean,,lcmd,V2_R2,N90,first_observed_labels,,749.0,,,CENSORED_COMPARISON
cohort_mean,,lcmd,V2_R2,N90,sustained_labels,,909.0,,,CENSORED_COMPARISON
cohort_mean,,random,V2_R2,N90,interpolated_labels,,,,,CENSORED_COMPARISON
cohort_mean,,random,V2_R2,N90,first_observed_labels,,,,,CENSORED_COMPARISON
cohort_mean,,random,V2_R2,N90,sustained_labels,,,,,CENSORED_COMPARISON
cohort_mean,,hybrid,V2_R2,N95,interpolated_labels,,959.4344452608814,,,CENSORED_COMPARISON
cohort_mean,,hybrid,V2_R2,N95,first_observed_labels,,973.0,,,CENSORED_COMPARISON
cohort_mean,,hybrid,V2_R2,N95,sustained_labels,,,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V2_R2,N95,interpolated_labels,,995.5438621008706,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V2_R2,N95,first_observed_labels,,1005.0,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V2_R2,N95,sustained_labels,,1005.0,,,CENSORED_COMPARISON
cohort_mean,,lcmd,V2_R2,N95,interpolated_labels,,,,,CENSORED_COMPARISON
cohort_mean,,lcmd,V2_R2,N95,first_observed_labels,,,,,CENSORED_COMPARISON
cohort_mean,,lcmd,V2_R2,N95,sustained_labels,,,,,CENSORED_COMPARISON
cohort_mean,,random,V2_R2,N95,interpolated_labels,,,,,CENSORED_COMPARISON
cohort_mean,,random,V2_R2,N95,first_observed_labels,,,,,CENSORED_COMPARISON
cohort_mean,,random,V2_R2,N95,sustained_labels,,,,,CENSORED_COMPARISON
cohort_mean,,hybrid,V2_R2,Random@1005,interpolated_labels,946.215931899952,504.8968193322348,441.3191125677172,0.7196797891410944,BOTH_REACHED
cohort_mean,,hybrid,V2_R2,Random@1005,first_observed_labels,973.0,525.0,448.0,0.7,BOTH_REACHED
cohort_mean,,hybrid,V2_R2,Random@1005,sustained_labels,973.0,525.0,448.0,0.7,BOTH_REACHED
cohort_mean,,kernel_ivr,V2_R2,Random@1005,interpolated_labels,946.215931899952,497.40560136591847,448.81033053403354,0.7318960698615024,BOTH_REACHED
cohort_mean,,kernel_ivr,V2_R2,Random@1005,first_observed_labels,973.0,525.0,448.0,0.7,BOTH_REACHED
cohort_mean,,kernel_ivr,V2_R2,Random@1005,sustained_labels,973.0,525.0,448.0,0.7,BOTH_REACHED
cohort_mean,,lcmd,V2_R2,Random@1005,interpolated_labels,946.215931899952,475.4114633072741,470.8044685926779,0.7677629430369904,BOTH_REACHED
cohort_mean,,lcmd,V2_R2,Random@1005,first_observed_labels,973.0,493.0,480.0,0.75,BOTH_REACHED
cohort_mean,,lcmd,V2_R2,Random@1005,sustained_labels,973.0,493.0,480.0,0.75,BOTH_REACHED
cohort_mean,,random,V2_R2,Random@1005,interpolated_labels,946.215931899952,946.215931899952,0.0,0.0,BOTH_REACHED
cohort_mean,,random,V2_R2,Random@1005,first_observed_labels,973.0,973.0,0.0,0.0,BOTH_REACHED
cohort_mean,,random,V2_R2,Random@1005,sustained_labels,973.0,973.0,0.0,0.0,BOTH_REACHED
cohort_mean,,hybrid,V2_RMSE,N80,interpolated_labels,,636.5780609832101,,,CENSORED_COMPARISON
cohort_mean,,hybrid,V2_RMSE,N80,first_observed_labels,,653.0,,,CENSORED_COMPARISON
cohort_mean,,hybrid,V2_RMSE,N80,sustained_labels,,653.0,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V2_RMSE,N80,interpolated_labels,,778.8512518061358,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V2_RMSE,N80,first_observed_labels,,781.0,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V2_RMSE,N80,sustained_labels,,781.0,,,CENSORED_COMPARISON
cohort_mean,,lcmd,V2_RMSE,N80,interpolated_labels,,671.2961479517481,,,CENSORED_COMPARISON
cohort_mean,,lcmd,V2_RMSE,N80,first_observed_labels,,685.0,,,CENSORED_COMPARISON
cohort_mean,,lcmd,V2_RMSE,N80,sustained_labels,,685.0,,,CENSORED_COMPARISON
cohort_mean,,random,V2_RMSE,N80,interpolated_labels,,,,,CENSORED_COMPARISON
cohort_mean,,random,V2_RMSE,N80,first_observed_labels,,,,,CENSORED_COMPARISON
cohort_mean,,random,V2_RMSE,N80,sustained_labels,,,,,CENSORED_COMPARISON
cohort_mean,,hybrid,V2_RMSE,N90,interpolated_labels,,904.4149106115169,,,CENSORED_COMPARISON
cohort_mean,,hybrid,V2_RMSE,N90,first_observed_labels,,909.0,,,CENSORED_COMPARISON
cohort_mean,,hybrid,V2_RMSE,N90,sustained_labels,,,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V2_RMSE,N90,interpolated_labels,,938.9505658269214,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V2_RMSE,N90,first_observed_labels,,941.0,,,CENSORED_COMPARISON
