method,comparator,metric,statistic,n_pairs,directional_wins,ties,mean_difference,median_difference,sample_std_difference,bootstrap_low,bootstrap_high
hybrid,random,V1_MAE,gap_closed,5,5,0,0.3246076042584191,0.27618882547966644,0.10999629975099093,0.24265491226963296,0.4117053969153705
kernel_ivr,lcmd,V1_MAE,gap_closed,5,2,0,0.010796598404794988,-0.06496362609039996,0.15118163952205088,-0.0989323887133455,0.13456269795543732
kernel_ivr,random,V1_MAE,gap_closed,5,5,0,0.32763549758203353,0.3406100238537742,0.10878419661830117,0.2363228040994577,0.40154878814115386
lcmd,random,V1_MAE,gap_closed,5,5,0,0.3168388991772385,0.3168440327295099,0.10709883498851178,0.23326687345126604,0.400410924903211
hybrid,kernel_ivr,V1_R2,aulc,5,4,0,0.015635067327543984,0.02656044237459465,0.03792783789552015,-0.017673137706581722,0.040609288020580434
hybrid,lcmd,V1_R2,aulc,5,2,0,-0.008718490490554264,-0.013118784606818812,0.02783377299868533,-0.029875056079626504,0.013278000937331846
hybrid,random,V1_R2,aulc,5,5,0,0.1427721693728024,0.13397021862407354,0.02296266462596458,0.12824409176838733,0.1629929782213711
kernel_ivr,lcmd,V1_R2,aulc,5,1,0,-0.024353557818098247,-0.01591143884380175,0.040510332686181774,-0.05510093067007862,0.006006582207196609
kernel_ivr,random,V1_R2,aulc,5,5,0,0.12713710204525844,0.12343613213106941,0.04727775719585574,0.090840074924125,0.16343412916639188
lcmd,random,V1_R2,aulc,5,5,0,0.1514906598633567,0.15769505238365406,0.031296021877139674,0.12391323206229084,0.17233513299861153
hybrid,kernel_ivr,V1_R2,endpoint,5,2,0,-0.019424946148309318,-0.002128872910197921,0.050051994813108104,-0.06330256185407199,0.016448727457285338
hybrid,lcmd,V1_R2,endpoint,5,3,0,-0.009967737821904809,0.012825802437243738,0.036294006984684525,-0.04268216634648199,0.013683890267010468
hybrid,random,V1_R2,endpoint,5,5,0,0.11488518893664872,0.10853986820529105,0.06276562561433527,0.06769205834715934,0.16508891168458764
kernel_ivr,lcmd,V1_R2,endpoint,5,3,0,0.00945720832640451,0.015054653930250184,0.03472542208637141,-0.01653556844688493,0.03544998509969395
kernel_ivr,random,V1_R2,endpoint,5,5,0,0.13431013508495804,0.15245129684254777,0.039021809422135734,0.10017922589736514,0.1577219212759875
lcmd,random,V1_R2,endpoint,5,5,0,0.12485292675855353,0.1091948339076606,0.03779011974855047,0.09861527063005678,0.157788811088798
hybrid,kernel_ivr,V1_R2,gap_closed,5,2,0,-0.06385559794047724,-0.005652325937716585,0.1678261723247329,-0.20320911551620072,0.04877733149733028
hybrid,lcmd,V1_R2,gap_closed,5,3,0,-0.04511567965164258,0.030225239538067994,0.12435500023414069,-0.1570009273346028,0.03622353892186627
hybrid,random,V1_R2,gap_closed,5,5,0,0.3289340243023512,0.2904027885815951,0.1550320961353347,0.21813418726994177,0.46171772641521514
kernel_ivr,lcmd,V1_R2,gap_closed,5,3,0,0.018739918288834655,0.039971296776653564,0.10120851478441974,-0.06073573514987418,0.09646601175374012
kernel_ivr,random,V1_R2,gap_closed,5,5,0,0.39278962224282843,0.40658080822562126,0.08641930441806904,0.32050482511183853,0.45561200090417087
lcmd,random,V1_R2,gap_closed,5,5,0,0.37404970395399373,0.3742116398946096,0.10173298855142233,0.28859670267635995,0.45674925750353557
hybrid,kernel_ivr,V1_RMSE,aulc,5,4,0,-0.1317556734328817,-0.17344145231889474,0.2862788722013886,-0.33148996720709273,0.11009285684705725
hybrid,lcmd,V1_RMSE,aulc,5,2,0,0.044399420070380204,0.09073601470421977,0.18971631309825235,-0.10841423774916512,0.18484771059092714
hybrid,random,V1_RMSE,aulc,5,5,0,-0.917996971808855,-0.9650525708942599,0.14366045770732042,-1.0220946489452385,-0.8014756433055232
kernel_ivr,lcmd,V1_RMSE,aulc,5,1,0,0.17615509350326192,0.16705621650114377,0.2801201966210259,-0.04359608319764385,0.38652030447460967
kernel_ivr,random,V1_RMSE,aulc,5,5,0,-0.7862412983759733,-0.6789238019008796,0.23773606263280517,-0.9797208976730054,-0.6110951645147009
lcmd,random,V1_RMSE,aulc,5,5,0,-0.9623963918792352,-1.0160289662368522,0.12120055435936368,-1.050123422611645,-0.8578322663532042
hybrid,kernel_ivr,V1_RMSE,endpoint,5,2,0,0.12623592872312495,0.020711951722895083,0.37609569809478377,-0.14782439605461742,0.4452938948617793
hybrid,lcmd,V1_RMSE,endpoint,5,3,0,0.05298707201500017,-0.09479689594521545,0.2612260863763257,-0.12544006448656245,0.28261077877988694
hybrid,random,V1_RMSE,endpoint,5,5,0,-0.8515253124965181,-0.7348220324983754,0.5346854543716402,-1.2836155239050415,-0.4461086096340396
kernel_ivr,lcmd,V1_RMSE,endpoint,5,3,0,-0.07324885670812478,-0.14327928879145668,0.27359588476340446,-0.27657761913053447,0.1300799057142849
kernel_ivr,random,V1_RMSE,endpoint,5,5,0,-0.9777612412196431,-1.0812886092454566,0.3285887455288128,-1.203253863346016,-0.6952795137410592
lcmd,random,V1_RMSE,endpoint,5,5,0,-0.9045123845115184,-0.7155897657255785,0.3435772515528789,-1.2050327945579242,-0.6624098923161187
