outer_seed,strategy,round,query_rank,sample_id,canonical_smiles
42,coverage,8,16,6c27c0ab37bb8d812822,N#Cc1ccc(C(=O)c2ccccc2)cc1
42,coverage,8,17,7c6e7b244de393e8554d,O=Cc1ccc2ccccc2c1Br
42,coverage,8,18,2554340571aee1a00fef,c1ccc(COCc2ccccc2)cc1
42,coverage,8,19,067260cef0fb89f79291,CC(O)c1ccccc1
42,coverage,8,20,122fbec0df9ecf1c5d89,COc1ccc(C(C)=O)cc1
42,coverage,8,21,d01d365af220241485ec,C=CC(=O)OCC(F)(F)F
42,coverage,8,22,fea75df17d0bf593243f,COc1cc(OC)cc(OC)c1
42,coverage,8,23,430318f87f3b5a86d927,CCOC(=O)C(C)(C)Br
42,coverage,8,24,c7e762106a9ec0d9ea75,COC(=O)Cc1ccc(Br)cc1
42,coverage,8,25,9fde4f980246629c5b0d,COc1ccc2ccccc2c1
42,ensemble,1,1,ad833f34f6b91872362d,N#Cc1ccc(N)cc1
42,ensemble,1,2,b4e0e9dc92fca2c88b90,N#Cc1ccc(N)cc1
42,ensemble,1,3,fe66b2381d33aa2ea3a8,N#Cc1ccc(N)cc1
42,ensemble,1,4,80f546c47198fa7c6dbf,Oc1ccc(OC(F)(F)F)cc1
42,ensemble,1,5,1b1a9ec85268aa66d327,CCOC(=O)/C=C(/C)N
42,ensemble,1,6,334f7f55dcbf278e47ec,CCOC(=O)/C=C(/C)N
42,ensemble,1,7,5d6d4ac0c1dfacbde53d,CCOC(=O)/C=C(/C)N
42,ensemble,1,8,8e7636d7a60a6058305a,CCOC(=O)/C=C(/C)N
42,ensemble,1,9,66454b90cefcad2e4125,Fc1cc(F)c(F)c(F)c1F
42,ensemble,1,10,72113bad4beb4e7b8852,Fc1cc(F)c(F)c(F)c1F
42,ensemble,1,11,98dd7f94e58da879b609,Fc1cc(F)c(F)c(F)c1F
42,ensemble,1,12,08155ffdcb0d27576050,CCOC(=O)CC(=O)OCC
42,ensemble,1,13,2aa2754666d0f055cb00,CCOC(=O)CC(=O)OCC
42,ensemble,1,14,37c15d90032e66347ed6,CCOC(=O)CC(=O)OCC
42,ensemble,1,15,68ca46900cfea89e5164,CCOC(=O)CC(=O)OCC
42,ensemble,1,16,9c10e0827e86bb3c7681,CCOC(=O)CC(=O)OCC
42,ensemble,1,17,f7d57d8bb988f7016502,CCOC(=O)CC(=O)OCC
42,ensemble,1,18,9e3f598e00375ec93d9b,C=C(C)C(=O)OCCOC(=O)CC(C)=O
42,ensemble,1,19,17902fa9c7f8ea9b456e,N#Cc1cccc(N)c1
42,ensemble,1,20,3774a4dac6dd0f01d48d,N#Cc1cccc(N)c1
42,ensemble,1,21,a60552f4d1a5ced4641f,N#Cc1cccc(N)c1
42,ensemble,1,22,62d1db91c3839882736a,Cc1cc(C)cc(C#N)c1
42,ensemble,1,23,63cda70afb5b740e4fa4,Cc1cc(C)cc(C#N)c1
42,ensemble,1,24,b51a88b6dc4049704214,Cc1cc(C)cc(C#N)c1
42,ensemble,1,25,249b884b29177edb9df5,CCOC(=O)c1ccccc1N
42,ensemble,2,1,9ffee2813aef5c26f96f,C/C(=N\O)c1ccccc1
42,ensemble,2,2,efd84dffe823b6298db6,C/C(=N\O)c1ccccc1
42,ensemble,2,3,2f48e798c7917fb7d2ae,C/C(=N\O)c1ccccc1
42,ensemble,2,4,79cb1738d945317e5bfa,C/C(=N\O)c1ccccc1
42,ensemble,2,5,a38fee52661fd3e3b7ea,C/C(=N\O)c1ccccc1
42,ensemble,2,6,7d406784048b9e313d67,C/C(=N\O)c1ccccc1
42,ensemble,2,7,aed6d224edcb21e5d658,O=C(c1ccccc1)c1cccc(C(=O)c2ccccc2)c1
42,ensemble,2,8,70cba7a21b5a01fb8e73,c1ccc(CNCc2ccccc2)cc1
42,ensemble,2,9,8fa8d7ec035c6a829dc4,Fc1cc(F)c(F)c(F)c1F
42,ensemble,2,10,ce9886eee330bc401615,Fc1cc(F)c(F)c(F)c1F
42,ensemble,2,11,ff8fce8e929a75d6fb8d,Fc1cc(F)c(F)c(F)c1F
42,ensemble,2,12,48679ae48dd485ffb7a6,COC(=O)C#CC(=O)OC
42,ensemble,2,13,34a20bc9c1f8c8bdf357,O=C(c1ccccc1)c1ccc([N+](=O)[O-])cc1
42,ensemble,2,14,4466eabae9624380fbc6,O=C(c1ccccc1)c1ccc([N+](=O)[O-])cc1
42,ensemble,2,15,6cf24e264547d6bffd62,O=C(c1ccccc1)c1ccc([N+](=O)[O-])cc1
