strategy,outer_seed,round,labeled_total,train_labeled,validation_labeled,V1_mae,V1_rmse,V1_r2,V2_mae,V2_rmse,V2_r2,nrmse,test_rows
hybrid,525,2,425,368,57,2.428343487694014,5.168952081626683,0.6738119958122147,4.219378365273479,8.877739673401368,0.7853668671613072,0.5393796395153556,417
hybrid,525,3,450,393,57,2.350735615836345,4.574461343184649,0.744528241666389,3.922063804964939,7.251460482452571,0.8568000315822765,0.46043695396624396,417
hybrid,525,4,475,418,57,2.3021473875224925,4.626736710470241,0.7386559929040706,3.7851734643321717,7.228635345628436,0.8577001026019474,0.4627460792316962,417
hybrid,525,5,500,443,57,2.2747084605303125,4.611985677509308,0.740319778361794,3.762256155783991,7.473661579711878,0.8478896345531506,0.468759543986649,417
hybrid,525,6,525,468,57,2.1982319639531447,4.512047847519257,0.751451946591356,3.542343057255855,7.144465851520755,0.8609946605689345,0.4539297360478009,417
hybrid,525,7,550,493,57,2.1143225835743755,4.2428577770113085,0.780224173615504,3.6272024680149784,6.715059956655378,0.8772018730789422,0.4267597408344276,417
hybrid,525,8,575,518,57,2.17262417774978,4.362700425847431,0.7676333708996137,3.2444996435636524,6.31757725200986,0.8913091273832583,0.4224113098333822,417
random,525,0,375,318,57,2.78588517742096,5.846113774760613,0.5827488910062244,5.2099831414318,11.319992916644019,0.6510330777057968,0.6457772944722866,417
random,525,1,400,343,57,2.7062450223003363,5.646850793600461,0.6107078929706358,5.191946127866384,10.755835827627116,0.684949420734765,0.6187847186327347,417
random,525,2,425,368,57,2.6699666293835693,5.62288730405399,0.6140049530174518,5.022354335232223,10.459714479070936,0.7020580798373137,0.6091615389689682,417
random,525,3,450,393,57,2.63483296893674,5.571591585566252,0.621015436529919,4.9807717115816175,10.36897168939466,0.7072052195397086,0.6037350365695855,417
random,525,4,475,418,57,2.7294549040113254,5.863222277145375,0.580303168172778,5.04963940258697,10.892691377925289,0.6768811079895491,0.6348047313652405,417
random,525,5,500,443,57,2.614310211136663,5.53941454489682,0.6253802175479451,5.010007516835859,10.560644007967866,0.6962804419703494,0.6072757184184576,417
random,525,6,525,468,57,2.6482677234715224,5.525301836472004,0.6272866157882437,5.170236878474315,10.659884195317758,0.6905454116501379,0.6092525297435432,417
random,525,7,550,493,57,2.5161762059811688,5.370614392184241,0.6478636032564805,4.820276330596212,10.381940941717183,0.7064723205979463,0.5927682609578602,417
random,525,8,575,518,57,2.5331660421422537,5.272971066719279,0.6605516125098687,4.6372771035719635,10.071464991768355,0.7237659264033189,0.5785907443722048,417
coverage,1101,0,375,318,57,2.7233181526716184,5.178535666594412,0.5497420859443946,5.445110886260688,9.6736545317422,0.6589194687402782,0.5862323815600332,417
coverage,1101,1,400,343,57,2.5799347670873005,5.0094175243023935,0.5786704951307801,5.459913301370587,9.693069596113203,0.6575489947917261,0.5765227082521239,417
coverage,1101,2,425,368,57,2.428245105522333,4.927068115926757,0.5924090389794332,4.69380023456049,8.865858927691933,0.7135047561584658,0.5482535842126197,417
coverage,1101,3,450,393,57,2.4903622638693244,4.915904761684291,0.594253920183393,4.687276017996008,9.499208305347457,0.6711100475933138,0.5653970894108614,417
coverage,1101,4,475,418,57,2.2255651670337007,4.542296800330522,0.653583612853682,4.0895692999410125,8.24274765790303,0.7523605717457348,0.5073871966813248,417
coverage,1101,5,500,443,57,2.1429989258067117,4.272666623783009,0.6934894496642212,3.859965722907742,7.786294258201132,0.7790279176403967,0.4781926330658176,417
coverage,1101,6,525,468,57,2.094915229391804,4.3673464858691,0.6797547416998369,3.8365870290789768,8.120923172095706,0.7596264999979343,0.4933497946765411,417
coverage,1101,7,550,493,57,2.1439579920231293,4.194796794981788,0.7045600191072321,3.6376180354218595,7.485770793540181,0.7957562225462094,0.4650145162492271,417
coverage,1101,8,575,518,57,2.105294272691893,3.9790978104003636,0.7341622570909917,3.6505993996867208,7.055208008390246,0.8185757115177276,0.43981902251978666,417
ensemble,1101,0,375,318,57,2.7233181526716184,5.178535666594412,0.5497420859443946,5.445110886260688,9.6736545317422,0.6589194687402782,0.5862323815600332,417
ensemble,1101,1,400,343,57,2.632721403757219,5.030696248469925,0.5750834930332265,5.667910440759011,9.742184816034968,0.6540697730672196,0.5791950796038072,417
