column,protocol,seed,budget,actual_budget,method,V1_r2,V1_rmse,V1_mae,V2_r2,V2_rmse,V2_mae,combined_normalized_rmse,all_outputs_finite,normalized_rmse
40g,compound,536279090,70,72,conditional_EA,0.6824526785106615,37.49825506485049,21.21156277483853,0.7166512556854144,47.69426629696535,31.681332039078367,3.9653601624340875,True,3.8627865187457893
40g,compound,536279090,70,72,additive_EA_control,0.6871971069200227,37.21707284527467,21.702284710124754,0.7175886620844458,47.615307151415124,31.983446277484397,3.9421239177700635,True,3.842488504949538
40g,compound,536279090,70,72,conditional_policy,0.6633436015486804,38.610041501757685,22.25232007706105,0.7499606148622385,44.803272549640056,24.22027951773215,3.9859962179020405,True,3.8434207944998153
40g,compound,536279090,70,72,additive_policy,0.6633436015486804,38.610041501757685,22.25232007706105,0.7499606148622385,44.803272549640056,24.22027951773215,3.9859962179020405,True,3.8434207944998153
40g,compound,536279090,100,100,scale_only,0.6532067687955722,39.18701093044265,26.281363344476123,0.725864696940012,46.91243868162006,31.22208236110579,4.077237662528709,True,3.9456298771349276
40g,compound,536279090,100,100,affine,0.6638316317915256,38.582046041385816,22.743515225847762,0.7467492886874614,45.09006516552559,24.54702686427267,3.99006742828769,True,3.8505639729368495
40g,compound,536279090,100,100,local_identity_shrinkage,0.663831632430153,38.58204600473819,22.743515341815566,0.7467492890237772,45.09006513558588,24.547026823212704,3.9900674247794674,True,3.8505639696802287
40g,compound,536279090,100,100,target_head_only,-0.24746330454708443,74.32257048641185,50.43281713333334,-0.36753946960523964,104.77929231755755,75.05502522857142,8.106936661339244,True,7.974873152307549
40g,compound,536279090,100,100,conditional_EA,0.6844916895626894,37.37767068931439,21.465452963712856,0.7181653228295628,47.56666903774145,31.370363637925866,3.953208482421919,True,3.8511664569106703
40g,compound,536279090,100,100,additive_EA_control,0.6901303421048615,37.04216468816429,21.898118607102724,0.7192155121396542,47.47796343530804,31.683689406319303,3.925618210388706,True,3.8271182262352608
40g,compound,536279090,100,100,conditional_policy,0.6638316361782035,38.582045789656284,22.74351522499084,0.7467492902178805,45.09006502928373,24.5470267932899,3.990067405707462,True,3.8505639527261764
40g,compound,536279090,100,100,additive_policy,0.6638316361782035,38.582045789656284,22.74351522499084,0.7467492902178805,45.09006502928373,24.5470267932899,3.990067405707462,True,3.8505639527261764
40g,compound,769539383,30,28,scale_only,0.834942107437547,27.927019243543224,18.746728129131526,0.8471178938745975,39.06693419468936,22.60417160170158,3.0386262793758614,True,2.987127263874333
40g,compound,769539383,30,28,affine,0.8367697901482329,27.771971177710245,17.733063449226595,0.8863219018156351,33.687548063102305,19.64322647085722,2.89940672974031,True,2.8099829769967304
