column,protocol,seed,method,normalized_aulc,actual_budget_aulc
40g,row,1425370602,local_identity_shrinkage,2.799063463966271,2.799063463966271
40g,row,1425370602,scale_only,3.1763563726271715,3.1763563726271715
40g,row,1425370602,target_head_only,6.923493013521786,6.923493013521786
40g,row,2767143051,additive_EA_control,3.9044610526165067,3.9044610526165067
40g,row,2767143051,additive_policy,3.9044610526165067,3.9044610526165067
40g,row,2767143051,affine,3.9791347794425627,3.9791347794425627
40g,row,2767143051,conditional_EA,3.8679483443651534,3.8679483443651534
40g,row,2767143051,conditional_policy,3.8679483443651534,3.8679483443651534
40g,row,2767143051,local_identity_shrinkage,3.9791347450106733,3.9791347450106733
40g,row,2767143051,scale_only,4.086116823368101,4.086116823368101
40g,row,2767143051,target_head_only,8.217404878720753,8.217404878720753
8g,compound,536279090,additive_EA_control,0.6728103165922793,0.7016410715427415
8g,compound,536279090,additive_policy,0.6752955620746525,0.7041623350755836
8g,compound,536279090,affine,0.7124782758457107,0.7321018542934412
8g,compound,536279090,conditional_EA,0.6727466205846505,0.7020066839561288
8g,compound,536279090,conditional_policy,0.6741470856056877,0.6965476483827888
8g,compound,536279090,local_identity_shrinkage,0.6569715097330745,0.6803418383255353
8g,compound,536279090,scale_only,0.5963892054818972,0.5979416383822993
8g,compound,536279090,target_head_only,0.7723091264939904,0.7867930716218068
8g,compound,769539383,additive_EA_control,1.0234847372483376,1.0271761514287938
8g,compound,769539383,additive_policy,1.0234847372483376,1.0271761514287938
8g,compound,769539383,affine,1.339898428274626,1.3454080590665474
8g,compound,769539383,conditional_EA,1.0957838489338525,1.1019139979632584
8g,compound,769539383,conditional_policy,1.0957838489338525,1.1019139979632584
8g,compound,769539383,local_identity_shrinkage,1.022085639890671,1.025768333078655
8g,compound,769539383,scale_only,1.0653369243304462,1.0684920706323733
8g,compound,769539383,target_head_only,0.7705998064205899,0.7698955037700141
8g,compound,1362771960,additive_EA_control,0.5362294138476175,0.5362883013343845
8g,compound,1362771960,additive_policy,0.534737478184437,0.5347757449917505
8g,compound,1362771960,affine,0.5178796983053492,0.5181333100120464
8g,compound,1362771960,conditional_EA,0.5288342849138346,0.5288885762393459
8g,compound,1362771960,conditional_policy,0.5358548439075753,0.5359860992803985
8g,compound,1362771960,local_identity_shrinkage,0.5427242539754972,0.5428185335631013
8g,compound,1362771960,scale_only,0.5282931665558824,0.5283148322352093
8g,compound,1362771960,target_head_only,0.5790886146213632,0.5807628662399517
8g,compound,1425370602,additive_EA_control,0.6385933404439452,0.6377532978184944
8g,compound,1425370602,additive_policy,0.6813120516864196,0.679101508686645
8g,compound,1425370602,affine,0.8116442772228438,0.8106279568136336
8g,compound,1425370602,conditional_EA,0.6663135277859198,0.6642723680817321
8g,compound,1425370602,conditional_policy,0.6707199497025059,0.6689908658838183
8g,compound,1425370602,local_identity_shrinkage,0.6441497679532782,0.6434483194078915
8g,compound,1425370602,scale_only,0.6813120231430356,0.6791014803089778
8g,compound,1425370602,target_head_only,0.7739658666652007,0.7704622848995797
8g,compound,2767143051,additive_EA_control,0.7763948934381462,0.7768496973833602
8g,compound,2767143051,additive_policy,0.7750271103966422,0.7754153146717528
8g,compound,2767143051,affine,0.8685526114272771,0.8685149133791661
8g,compound,2767143051,conditional_EA,0.7978411477428056,0.7984957994585644
8g,compound,2767143051,conditional_policy,0.7876632519359538,0.787973746111123
8g,compound,2767143051,local_identity_shrinkage,0.7748754054218034,0.7752468126749059
8g,compound,2767143051,scale_only,0.8031170649367206,0.8041951571167256
8g,compound,2767143051,target_head_only,0.7290753362990107,0.7290374532225223
8g,row,536279090,additive_EA_control,0.7190210681618755,0.7190210681618755
8g,row,536279090,additive_policy,0.7258570458736009,0.7258570458736009
8g,row,536279090,affine,0.7978646818390313,0.7978646818390313
8g,row,536279090,conditional_EA,0.7669203038041252,0.7669203038041252
8g,row,536279090,conditional_policy,0.7304559319685534,0.7304559319685534
