column,protocol,seed,target,dimension,level,rows,compounds,ratio_defined_rows,ratio_median,ratio_q25,ratio_q75,ratio_mean,ratio_std,scale_rmse,scale_mae,scale_signed_mean,scale_signed_median,scale_r2,scale_nrmse,scale_sse,affine_rmse,affine_mae,affine_signed_mean,affine_signed_median,affine_r2,affine_nrmse,affine_sse
8g,row,536279090,V2,amount_density_ul,102.32000000000001,1,1,1,1.5115363161668596,1.5115363161668596,1.5115363161668596,1.5115363161668596,,4.868293436817602,4.868293436817602,-4.868293436817602,-4.868293436817602,,0.30282029943114575,23.70028098696134,5.065583450426843,5.065583450426843,-5.065583450426843,-5.065583450426843,,0.3150922427252992,25.660135693238317
8g,row,536279090,V2,amount_density_ul,102.60000000000001,1,1,1,3.3803390293401945,3.3803390293401945,3.3803390293401945,3.3803390293401945,,16.381428527586927,16.381428527586927,16.381428527586927,16.381428527586927,,1.0189667398267068,268.35120060443876,15.626293583869586,15.626293583869586,15.626293583869586,15.626293583869586,,0.9719954155351112,244.1810511692838
8g,row,536279090,V2,amount_density_ul,102.89999999999999,3,1,3,1.5404234852936836,1.5005223859899477,1.596596192773528,1.551271224077756,0.09653202280815569,11.335058372007857,11.004166489170382,-11.004166489170382,-11.26256596849008,0.9076986771073343,0.7050696131671034,385.45064489047627,10.421532556348458,10.227527506631283,-10.227527506631283,-10.697413233546172,0.9219768315241109,0.6482459716536418,325.82502246909246
8g,row,536279090,V2,amount_density_ul,103.0,2,1,2,1.7439353034945007,1.7197397223488762,1.7681308846401254,1.7439353034945007,0.06843543801128192,1.2399573722783184,1.2003714125275984,-1.2003714125275984,-1.2003714125275984,0.9396124086733981,0.07712851898274864,3.074988570134704,1.5245616508110953,1.4710920632387499,-1.4710920632387499,-1.4710920632387499,0.9087097955758329,0.09483163280758394,4.648576454247705
8g,row,536279090,V2,amount_density_ul,103.60000000000001,1,1,1,1.5953153720096573,1.5953153720096573,1.5953153720096573,1.5953153720096573,,2.6091263624927166,2.6091263624927166,-2.6091263624927166,-2.6091263624927166,,0.16229433098022655,6.807540375454475,3.259490462969733,3.259490462969733,-3.259490462969733,-3.259490462969733,,0.2027486409353922,10.624278078190645
8g,row,536279090,V2,amount_density_ul,103.89999999999999,1,1,1,1.8511919937064443,1.8511919937064443,1.8511919937064443,1.8511919937064443,,2.2738540957296287,2.2738540957296287,2.2738540957296287,2.2738540957296287,,0.14143953873530274,5.170412448666408,1.0369920998526716,1.0369920998526716,1.0369920998526716,1.0369920998526716,,0.06450356007923684,1.0753526151568533
8g,row,536279090,V2,amount_density_ul,104.3,3,1,3,1.5174627911189693,1.4663653919999016,1.5179466657796519,1.483720441480046,0.059283534173563655,5.393886039895213,5.349984075298018,-5.349984075298018,-5.238242231973562,-11.241199571573599,0.33551350322183593,87.28201983412939,5.580279097367735,5.5384406763238365,-5.5384406763238365,-5.388105882503655,-12.101839852302724,0.3471076279820338,93.41854441355781
8g,row,536279090,V2,amount_density_ul,104.59,1,1,1,2.0029662998760207,2.0029662998760207,2.0029662998760207,2.0029662998760207,,2.0988688858700435,2.0988688858700435,2.0988688858700435,2.0988688858700435,,0.13055501126517136,4.405250600073358,0.7796066415368941,0.7796066415368941,0.7796066415368941,0.7796066415368941,,0.048493526467261974,0.6077865155284352
8g,row,536279090,V2,amount_density_ul,104.69999999999999,1,1,1,1.6843702101133906,1.6843702101133906,1.6843702101133906,1.6843702101133906,,1.5408335435570937,1.5408335435570937,-1.5408335435570937,-1.5408335435570937,,0.09584378614172558,2.37416800895071,1.2149024675615419,1.2149024675615419,-1.2149024675615419,-1.2149024675615419,,0.07557003984688274,1.4759880056871233
8g,row,536279090,V2,amount_density_ul,104.77000000000001,3,1,3,1.5877047710683565,1.2749509992517836,1.7057206784956005,1.4578795281421373,0.44520047375475663,9.15933103145808,6.80178697793436,-6.80178697793436,-3.7012087289379387,0.11911565718563233,0.5697338095027075,251.68003483149283,9.067878376238141,6.69018474516317,-6.69018474516317,-3.487936642205238,0.13661847137791217,0.5640452205142059,246.67925473874183
8g,row,536279090,V2,amount_density_ul,104.89999999999999,2,1,2,1.523297163581411,1.50874453986143,1.5378497873013917,1.523297163581411,0.041161035665818295,4.677383719545485,4.666877974787614,-4.666877974787614,-4.666877974787614,-55.007471257265045,0.29094522688283836,43.755836919738314,4.475689896351188,4.464982101592694,-4.464982101592694,-4.464982101592694,-50.281408123648276,0.2783993553724645,40.06360009660022
8g,row,536279090,V2,amount_density_ul,105.1,1,1,1,1.496571973751584,1.496571973751584,1.496571973751584,1.496571973751584,,10.299861326366134,10.299861326366134,-10.299861326366134,-10.299861326366134,,0.6406777100495327,106.08714334237274,9.577593788816657,9.577593788816657,-9.577593788816657,-9.577593788816657,,0.5957508224597197,91.7303027835794
8g,row,536279090,V2,amount_density_ul,105.80000000000001,1,1,1,1.5599122745737386,1.5599122745737386,1.5599122745737386,1.5599122745737386,,1.22305893202169,1.22305893202169,-1.22305893202169,-1.22305893202169,,0.07607739279143659,1.495873151198037,2.480414538166901,2.480414538166901,-2.480414538166901,-2.480414538166901,,0.15428812640596992,6.15245628114972
