column,protocol,method,reference,relative_gain,mean_delta,median_delta,std_delta,wins,seeds,material
40g,compound,conditional_policy,additive_policy,0.0,0.0,0.0,0.0,0,5,False
40g,compound,additive_policy,scale_only,0.03627438157998231,-0.1281453530667589,-0.11418474422792091,0.06904619022273627,5,5,False
40g,compound,additive_policy,affine,2.5458168906311585e-09,-8.667290885000511e-09,-2.021067313506819e-08,3.34969512850752e-08,4,5,False
40g,compound,additive_policy,local_identity_shrinkage,3.3349227823720184e-09,-1.1353820106307921e-08,-1.695405238422154e-08,3.149709362606308e-08,4,5,False
40g,compound,additive_policy,target_head_only,0.5578573573726702,-4.295532519836065,-4.124309199581373,0.5753536993709975,5,5,True
40g,row,conditional_EA,scale_only,0.15287777046981932,-0.546516928102877,-0.5402839926721348,0.18867089357865863,5,5,True
40g,row,conditional_EA,affine,0.04850870723575773,-0.15439038096064434,-0.15560979887018256,0.04201219746562233,5,5,False
40g,row,conditional_EA,local_identity_shrinkage,0.06560947254135008,-0.21263927148392164,-0.17661449773501747,0.09028300000118115,5,5,True
40g,row,conditional_EA,target_head_only,0.6191057015448513,-4.922272900578881,-4.395900601298337,0.8242235312543327,5,5,True
40g,row,conditional_EA,additive_policy,0.036592057412853984,-0.11502227751544405,-0.16033837066480983,0.08747350799527617,5,5,False
40g,row,additive_EA_control,scale_only,0.12070246457039835,-0.4314946505874329,-0.39071461785646466,0.13839515490488724,5,5,True
40g,row,additive_EA_control,affine,0.012369266741669827,-0.039368103445200295,-0.03109290264984077,0.05765133542847452,4,5,False
40g,row,additive_EA_control,local_identity_shrinkage,0.03011955148571066,-0.09761699396847759,-0.1065026572956449,0.07984726831922,4,5,False
40g,row,additive_EA_control,target_head_only,0.604638615047857,-4.807250623063437,-4.375394028423404,0.7733228684480649,5,5,True
40g,row,additive_EA_control,additive_policy,0.0,0.0,0.0,0.0,0,5,False
40g,row,conditional_policy,scale_only,0.14299685789166605,-0.5111940294730111,-0.5402839926721348,0.20940969655163674,5,5,True
40g,row,conditional_policy,affine,0.03741042418409979,-0.11906748233077842,-0.15560979887018256,0.11065123713720038,4,5,False
40g,row,conditional_policy,local_identity_shrinkage,0.05471065440881928,-0.17731637285405571,-0.15560979719154933,0.13255491128409083,5,5,True
