column,protocol,seed,budget,target,feature,ratio_spearman,scale_residual_spearman,ratio_partial_source_rho,ratio_partial_source_compound_rho,common_source_bins,relative_standardized_contrast
40g,compound,2767143051,100,V1,solvent_DCM,0.1280079424157626,0.26395436188056476,0.1687297780704092,,3.0,0.33221074253952637
40g,compound,2767143051,100,V1,loading_ul,,,,,0.0,
40g,compound,2767143051,100,V1,amount_density_ul,0.022421722158325334,0.22675917423318062,0.041680829928108315,,4.0,0.1006671468728906
40g,compound,2767143051,100,V1,loading_volume_ul,,,,,0.0,
40g,compound,2767143051,100,V1,MolWt,-0.27472527472527475,-0.24835164835164836,,,,
40g,compound,2767143051,100,V1,MolLogP,-0.43736263736263736,-0.3538461538461538,,,,
40g,compound,2767143051,100,V1,TPSA,0.454211451588918,0.3400992149828352,,,,
40g,compound,2767143051,100,V1,HBD,,,,,,
40g,compound,2767143051,100,V1,HBA,0.3806629326694729,0.2735302510199805,,,,
40g,compound,2767143051,100,V1,RotatableBonds,0.018613209770984466,-0.11865921229002596,,,,
40g,compound,2767143051,100,V1,RingCount,-0.4000083249216946,-0.1341963412640524,,,,
40g,compound,2767143051,100,V2,source,0.29815205832036124,-0.019881941340566867,,,,
40g,compound,2767143051,100,V2,EA_fraction,-0.24237877008592332,-0.03139351012840939,-0.05295061230241084,-0.1297233699888586,2.0,0.024423853508276597
40g,compound,2767143051,100,V2,solvent_DCM,0.048623171925367185,0.2431158596268359,0.09623761463824301,,4.0,0.20734681408723102
40g,compound,2767143051,100,V2,loading_ul,,,,,0.0,
40g,compound,2767143051,100,V2,amount_density_ul,-0.02178043927095765,0.2709690619623114,0.027966308076095382,,4.0,0.24678441731397277
