strategy,outer_seed,round,labeled_total,row_weighted_nrmse,test_unique_compounds,compound_macro_V1_mae,compound_macro_V1_nrmse,compound_macro_V2_mae,compound_macro_V2_nrmse,compound_macro_mae,compound_macro_nrmse
hybrid,1101,7,550,0.7165241050911844,25,3.018035191861858,0.5547574981883429,6.352144346192119,0.5836761029899552,4.685089769026989,0.569216800589149
hybrid,1101,8,575,0.720167558120195,25,2.9354985237738287,0.5465379994690305,6.358367749288654,0.5872261755205829,4.646933136531241,0.5668820874948066
random,1101,0,375,0.9359322254614681,25,3.96405827200546,0.7442554002197257,8.20698999361608,0.7875758920952595,6.08552413281077,0.7659156461574925
random,1101,1,400,0.9228534782457027,25,3.7972535615718965,0.7277656076887641,8.54224125985537,0.8069021936186676,6.169747410713633,0.7673339006537159
random,1101,2,425,0.9133239330056669,25,3.7690463393709708,0.7177454120394099,8.052526537177355,0.7843196782619676,5.9107864382741635,0.7510325451506887
random,1101,3,450,0.8861132400786585,25,3.6789644642850625,0.6985641696872362,8.515661025538673,0.7866217729254588,6.097312744911868,0.7425929713063475
random,1101,4,475,0.851033006901979,25,3.5393734877195375,0.6645919380615031,8.104692982508922,0.7514841154286671,5.82203323511423,0.7080380267450851
random,1101,5,500,0.879016624531896,25,3.776960194069535,0.7039518712091464,7.803271266458215,0.7450533839756167,5.790115730263875,0.7245026275923816
random,1101,6,525,0.8815058578058365,25,3.6629231807288676,0.6846632726121341,8.159109793389334,0.7687874738253995,5.911016487059101,0.7267253732187668
random,1101,7,550,0.8408021299925383,25,3.32908885948691,0.6415409641559368,8.107830389365738,0.7550253313521867,5.718459624426324,0.6982831477540618
random,1101,8,575,0.841689458344275,25,3.3877569377900607,0.6634041628022511,7.214943228841462,0.7188885498460842,5.301350083315762,0.6911463563241677
