strategy,outer_seed,round,labeled_total,train_labeled,validation_labeled,V1_mae,V1_rmse,V1_r2,V2_mae,V2_rmse,V2_r2,nrmse,test_rows
random,525,3,450,393,57,3.408737992086427,5.971361190058349,0.20314461469728007,6.207231414987356,11.05268089167916,0.4295985727335634,0.8871159162674878,416
random,525,4,475,418,57,3.5500439988592496,6.174512811974685,0.14800269325067428,6.497590769184578,11.157889246901771,0.4186878058045084,0.906953988910178,416
random,525,5,500,443,57,3.4352905350160796,6.014237548701157,0.19166015789132929,6.253210375154111,11.028060590011915,0.4321369277554655,0.8895145945039071,416
random,525,6,525,468,57,3.572524499568606,6.043275955589397,0.18383553577183365,6.5817253757593095,11.134652882527043,0.4211064562956848,0.8958467064066179,416
random,525,7,550,493,57,3.305654443915074,5.951564678042859,0.20841939470206405,6.14723862322974,10.93306404157075,0.4418780219612449,0.8810060921646761,416
random,525,8,575,518,57,3.5371376938831345,6.287036641240451,0.11666627334531487,6.451598939328443,11.348158221031385,0.3986932137477591,0.9229830416407091,416
coverage,1101,0,375,318,57,4.050128710590079,7.027833066241848,0.17311051944557887,8.430408749092948,14.135584285016915,0.20803061708358783,0.9359322254614681,422
coverage,1101,1,400,343,57,3.8920189314732245,6.851085080234601,0.2141795717348558,8.718308582993574,14.417952892278073,0.1760742654774482,0.9340459911570889,422
coverage,1101,2,425,368,57,3.2666864212843665,5.8835754264657325,0.42045489271551006,7.963734540039702,12.498224980565016,0.3808761423526178,0.8060903334249643,422
coverage,1101,3,450,393,57,3.337320625876175,6.252539304327106,0.34548824058427374,7.336774431452366,13.024052780038808,0.327684446475771,0.8478851249165769,422
coverage,1101,4,475,418,57,3.097717144082508,5.794767073591933,0.43781848646330135,6.587014226250551,11.623871832235956,0.4644716227178276,0.7706473350120171,422
coverage,1101,5,500,443,57,3.033612842733073,5.437664766199683,0.5049723557763015,5.931375795481403,10.834946576305247,0.5346985434966606,0.7206917108599835,422
coverage,1101,6,525,468,57,3.132864827981681,5.785806885578363,0.4395556943810077,6.150095581744708,11.395406039094095,0.48531623126627843,0.7623107066130451,422
coverage,1101,7,550,493,57,3.136515606259471,6.1805302884309645,0.3604771430355572,6.7218828182632056,12.944271887669041,0.3358959689406458,0.8405035978787316,422
coverage,1101,8,575,518,57,3.0612151017874525,5.834891769850635,0.4300061070735297,6.129532124909556,11.979771163113654,0.431176005333879,0.7853321959937554,422
ensemble,1101,0,375,318,57,4.050128710590079,7.027833066241848,0.17311051944557887,8.430408749092948,14.135584285016915,0.20803061708358783,0.9359322254614681,422
ensemble,1101,1,400,343,57,3.6453745788495877,6.599746556592993,0.2707790971036679,8.46648722688793,13.746450235614544,0.2510341917135147,0.8949403164399348,422
ensemble,1101,2,425,368,57,3.74104634788929,6.712362558781421,0.24568037744695104,8.193916227595617,13.655038003552594,0.26096213592124706,0.8991462296415264,422
ensemble,1101,3,450,393,57,3.5057606800660897,6.689017844459788,0.25091810243409984,7.539330603319957,13.714681036174742,0.2544920370064968,0.899655685791975,422
ensemble,1101,4,475,418,57,3.7788933657545236,7.231838672537979,0.12440746227555954,8.615847291958472,15.339735297721951,0.06735451012718319,0.9900463364852023,422
ensemble,1101,5,500,443,57,3.888209117795995,6.871691426571099,0.20944536108448153,8.726826030678273,14.627227839252754,0.1519823024982596,0.9424870416431248,422
