column,protocol,seed,planned_budget,actual_budget,portfolio_planned_budget,portfolio_actual_budget,method,V1_r2,V1_rmse,V1_mae,V2_r2,V2_rmse,V2_mae,combined_normalized_rmse,all_outputs_finite,normalized_rmse
25g,compound,1362771960,50,52,150,149,linear_policy,0.7559995421698477,17.974506049904047,14.586463181461484,0.839953146659558,24.105032587408317,17.86504493499405,1.9302495329885343,True,1.8902610254893057
25g,compound,1362771960,50,52,150,149,shared_column_affine,0.6458648048560844,21.654401715441185,13.549037573664236,0.812457492683941,26.093600679691367,16.159643596734128,2.2568437264112022,True,2.1856140570316285
25g,compound,1362771960,50,52,150,149,local_identity_shrinkage,0.786759238327228,16.803384164642974,12.958798159557192,0.7756557222294439,28.5391905591764,20.003704156780262,1.9620060030560482,True,1.9538560274300445
25g,compound,1362771960,70,70,210,211,scale_only,0.7540418541202071,18.046469389333044,14.667088644281002,0.8386796936909993,24.20074145340105,18.065987877374585,1.937958245772577,True,1.897804092907133
25g,compound,1362771960,70,70,210,211,affine,0.3886021652390056,28.452707032468357,15.078666206847357,0.6574121130679742,35.267132916442044,19.365495829421036,2.987556400606566,True,2.902305853825388
25g,compound,1362771960,70,70,210,211,target_head_only,0.47209055207917483,26.438776967021127,14.204019579439253,0.3253162737721539,49.491916368100775,29.84407,3.2198975326445844,True,3.216921834465245
25g,compound,1362771960,70,70,210,211,monotone_spline,0.39115600101544856,28.393220740877485,15.07869336071625,0.6316761116028884,36.56782217559952,19.14954302570171,3.0131410623042396,True,2.9389842784240656
25g,compound,1362771960,70,70,210,211,nonlinear_policy,0.7540418532221803,18.0464694222781,14.66708868091708,0.8386796928831961,24.20074151399304,18.065987999345666,1.937958249706939,True,1.8978040968821344
25g,compound,1362771960,70,70,210,211,linear_policy,0.7540418532221803,18.0464694222781,14.66708868091708,0.8386796928831961,24.20074151399304,18.065987999345666,1.937958249706939,True,1.8978040968821344
25g,compound,1362771960,70,70,210,211,shared_column_affine,0.74319371969115,18.440150622489384,12.870694467455793,0.8250403092336284,25.203053084748973,16.100901936529777,1.99177108197033,True,1.953958120631224
25g,compound,1362771960,70,70,210,211,local_identity_shrinkage,0.7842814133342126,16.90072857487559,13.143428109325976,0.7638364827024353,29.281313685133384,20.88774916312994,1.9896987718752224,True,1.9831139484593994
25g,compound,1425370602,100,99,300,295,scale_only,0.8064070416831157,15.115070272072936,10.870476766215951,0.8478589950525192,20.69014181802306,15.422215134620906,1.6333949551282183,True,1.6026094254664076
25g,compound,1425370602,100,99,300,295,affine,0.8305878111910309,14.139619387664196,9.178593605275369,0.883962708736321,18.069208045409994,11.658375553404184,1.4972141940656494,True,1.4591982645204586
25g,compound,1425370602,100,99,300,295,target_head_only,0.4520582084462127,25.429194588185403,14.343071638613859,0.30441636379967785,44.239988506535276,27.780579059405945,2.9989508008968864,True,2.9895175961051117
25g,compound,1425370602,100,99,300,295,monotone_spline,0.8305304970513628,14.142010985328294,9.20093711707021,0.8852916613416215,17.96543850801714,11.413364326929837,1.4949786159307803,True,1.456122656931542
25g,compound,1425370602,100,99,300,295,nonlinear_policy,0.8305304970513628,14.142010985328294,9.20093711707021,0.8852916613416215,17.96543850801714,11.413364326929837,1.4949786159307803,True,1.456122656931542
25g,compound,1425370602,100,99,300,295,linear_policy,0.8064070414733163,15.115070280263147,10.870476853051128,0.8478589950489301,20.6901418182671,15.422215081889489,1.6333949557445349,True,1.6026094259937036
25g,compound,1425370602,100,99,300,295,shared_column_affine,0.8305878116376576,14.139619369025832,9.178593582717868,0.8839627082688705,18.069208081805453,11.658375601557545,1.4972141934979157,True,1.4591982644697152
