mode,seed,split,left,right,left_bin,right_bin,n,mean_combined_error,mean_V1_abs_error,mean_V2_abs_error,mean_V1_width,mean_V2_width
compound,42,validation,ea_fraction,V1_q50,"(0.167, 0.333]","(5.346, 6.172]",18,0.11498346971166645,0.6860333444444443,1.9860632722222225,2.624109294444444,3.871597055555556
compound,42,validation,ea_fraction,V1_q50,"(0.167, 0.333]","(6.172, 9.189]",6,0.17083789203740082,1.6780422833333335,1.6359461666666666,3.1714270500000006,4.163935333333334
compound,42,validation,ea_fraction,V1_q50,"(0.167, 0.333]","(9.189, 63.756]",6,1.2322392368774195,6.941597333333333,23.373491833333333,4.5730678000000005,6.721389166666666
compound,42,validation,ea_fraction,V1_q50,"(0.333, 0.5]","(0.598, 4.724]",16,0.10088723538339553,0.51693004375,1.60671679375,1.768437825,3.84497501875
compound,42,validation,ea_fraction,V1_q50,"(0.333, 0.5]","(4.724, 5.346]",20,0.10193911392143276,0.6382602650000001,1.60142995,2.4286218749999997,4.4132779300000005
compound,42,validation,ea_fraction,V1_q50,"(0.333, 0.5]","(5.346, 6.172]",16,0.09583527219539809,0.5843876750000001,1.68564303125,2.6455019562499995,3.84300731875
compound,42,validation,ea_fraction,V1_q50,"(0.333, 0.5]","(6.172, 9.189]",7,0.5648615310967884,3.0108167857142862,10.92598314285714,3.240042942857143,5.746260285714286
compound,42,validation,ea_fraction,V1_q50,"(0.5, 1.0]","(0.598, 4.724]",21,0.09274030053330656,0.42127791428571415,1.6812972333333334,1.9375807095238098,3.8146204095238097
compound,42,validation,ea_fraction,V1_q50,"(0.5, 1.0]","(4.724, 5.346]",25,0.1217503874629547,0.700915052,2.100685576,2.4212753520000003,3.826509028
compound,42,validation,ea_fraction,V1_q50,"(0.5, 1.0]","(5.346, 6.172]",6,0.13408458777649818,1.2724621333333335,1.331453566666667,2.4741102333333336,4.749450783333334
compound,42,validation,ea_fraction,V1_q50,"(0.5, 1.0]","(6.172, 9.189]",4,0.14753062291928948,1.2165746499999999,2.1275563749999997,4.15842825,6.241052750000001
compound,525,test,ea_fraction,V1_q50,"(0.008900000000000002, 0.0476]","(0.598, 4.724]",18,0.29310917784802826,1.5870344444444442,4.648794722222222,2.710511966666667,3.3110427500000004
compound,525,test,ea_fraction,V1_q50,"(0.008900000000000002, 0.0476]","(4.724, 5.346]",18,0.15306623260285468,1.2203790999999997,2.0223545000000005,2.5535032111111113,4.0851104722222225
compound,525,test,ea_fraction,V1_q50,"(0.008900000000000002, 0.0476]","(5.346, 6.172]",15,0.3098380131292791,2.6030047200000004,3.8848094666666677,3.4512265199999996,5.375612599999999
compound,525,test,ea_fraction,V1_q50,"(0.008900000000000002, 0.0476]","(6.172, 9.189]",36,0.43734857269003846,3.765214136111111,5.107857430555556,3.215873580555556,6.435287180555555
compound,525,test,ea_fraction,V1_q50,"(0.008900000000000002, 0.0476]","(9.189, 63.756]",13,1.0301769623595765,10.05023592307692,10.540994461538462,6.21334443076923,10.938307999999997
compound,525,test,ea_fraction,V1_q50,"(0.0476, 0.167]","(0.598, 4.724]",47,0.3311568044022263,2.8350702340425533,3.572192510638296,3.1810699000000002,3.883710580851063
