canonical_smiles,source_smiles,status,conformer_method,error,seconds
CCOC(=O)c1ccc(F)cc1,CCOC(=O)C1=CC=C(C=C1)F,success,MMFF,,0.1016
CCOC(=O)c1ccc(N)cc1,CCOC(=O)C1=CC=C(C=C1)N,success,MMFF,,0.1098
CCOC(=O)c1ccc(OC)cc1,CCOC(=O)C1=CC=C(C=C1)OC,success,MMFF,,0.1259
CCOC(=O)c1ccccc1N,CCOC(=O)C1=CC=CC=C1N,success,MMFF,,0.1149
CCOC(=O)c1cccnc1,CCOC(=O)C1=CN=CC=C1,success,MMFF,,0.0936
CCOC(=O)CBr,CCOC(=O)CBr,success,MMFF,,0.0576
CCOC(=O)CC(C)=O,CCOC(=O)CC(=O)C,success,MMFF,,0.0857
CCOC(=O)CC(=O)c1ccccc1,CCOC(=O)CC(=O)C1=CC=CC=C1,success,MMFF,,0.1374
CCOC(=O)CC(=O)OCC,CCOC(=O)CC(=O)OCC,success,MMFF,,0.2294
CCOC(=O)Cc1ccccc1,CCOC(=O)CC1=CC=CC=C1,success,MMFF,,0.1163
COC(=O)C#CC(=O)OC,COC(=O)C#CC(=O)OC,success,MMFF,,0.0734
COC(=O)C(=O)c1ccccc1,COC(=O)C(=O)C1=CC=CC=C1,success,MMFF,,0.1003
COC(=O)c1ccc(CBr)cc1,COC(=O)C1=CC=C(C=C1)CBr,success,MMFF,,0.0963
COC(=O)c1ccc(Cl)cc1,COC(=O)C1=CC=C(C=C1)Cl,success,MMFF,,0.0841
COC(=O)c1ccc(I)cc1,COC(=O)C1=CC=C(C=C1)I,success,MMFF,,0.0832
COC(=O)c1ccccc1N,COC(=O)C1=CC=CC=C1N,success,MMFF,,0.0957
COC(=O)c1ccccc1O,COC(=O)C1=CC=CC=C1O,success,MMFF,,0.0917
COC(=O)CC(=O)C1CC1,COC(=O)CC(=O)C1CC1,success,MMFF,,0.0985
COC(=O)Cc1ccc(Br)cc1,COC(=O)CC1=CC=C(C=C1)Br,success,MMFF,,0.103
COC(=O)Cc1cccc2ccccc12,COC(=O)CC1=CC=CC2=CC=CC=C21,success,MMFF,,0.1487
COC(=O)CS,COC(=O)CS,success,MMFF,,0.0506
COC(=O)[C@H](O)c1ccccc1,COC(=O)[C@@H](C1=CC=CC=C1)O,success,MMFF,,0.1159
COc1cccc(OC)c1C=O,COC1=C(C(=CC=C1)OC)C=O,success,MMFF,,0.1125
COc1ccc(Br)c(CBr)c1,COC1=CC(=C(C=C1)Br)CBr,success,MMFF,,0.0857
COc1ccc(C=O)c(O)c1,COC1=CC(=C(C=C1)C=O)O,success,MMFF,,0.0882
COc1ccc(OC)c(Br)c1,COC1=CC(=C(C=C1)OC)Br,success,MMFF,,0.0956
COc1cc(F)cc(Br)c1,COC1=CC(=CC(=C1)Br)F,success,MMFF,,0.0704
COc1cc(Br)cc(OC)c1,COC1=CC(=CC(=C1)Br)OC,success,MMFF,,0.0876
COc1cc(OC)cc(OC)c1,COC1=CC(=CC(=C1)OC)OC,success,MMFF,,0.1125
COc1ccc2ccccc2c1,COC1=CC2=CC=CC=C2C=C1,success,MMFF,,0.1057
COc1ccc(Br)cc1,COC1=CC=C(C=C1)Br,success,MMFF,,0.0692
COc1ccc(C(=O)c2ccccc2)cc1,COC1=CC=C(C=C1)C(=O)C2=CC=CC=C2,success,MMFF,,0.1534
COc1ccc(C=O)cc1,COC1=CC=C(C=C1)C=O,success,MMFF,,0.0817
COc1ccc(CCO)cc1,COC1=CC=C(C=C1)CCO,success,MMFF,,0.11
COc1ccc(CO)cc1,COC1=CC=C(C=C1)CO,success,MMFF,,0.0913
COc1ccc(Cl)cc1,COC1=CC=C(C=C1)Cl,success,MMFF,,0.0708
COc1ccc(OC)cc1,COC1=CC=C(C=C1)OC,success,MMFF,,0.0896
COc1ccccc1,COC1=CC=CC=C1,success,MMFF,,0.067
COCCCCC(=O)c1ccc(C(F)(F)F)cc1,COCCCCC(=O)C1=CC=C(C=C1)C(F)(F)F,success,MMFF,,0.1918
C=CC(=O)OCCOC,COCCOC(=O)C=C,success,MMFF,,0.0825
CSc1ccc(C=O)cc1,CSC1=CC=C(C=C1)C=O,success,MMFF,,0.084
C=CC(=O)O[C@@H]1C[C@H]2CC[C@]1(C)C2(C)C,C[C@@]12CC[C@@H](C1(C)C)C[C@H]2OC(=O)C=C,success,MMFF,,0.2827
