phase,candidate_id,member_seed,fit_seed,train_rows,validation_rows,validation_ids_hash,frozen_unchanged,trainable_changed,best_epoch,epochs_run,fit_seconds,reused_completed_fit,checkpoint_sha256
candidate,6cd5860914563da59932,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,48,148,10.492831042036414,False,4308cc5ac4eee84602d51f613de001ebc7db615c3bcefd8eed65b283fd1694f3
candidate,6cd5860914563da59932,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,75,175,15.271839999826623,False,c83e7fc6901538c4eb110041f0736a6e50adbc11c624ba1be20e07cf790494d9
candidate,6cec450baf7517436df6,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,79,179,11.580960791092366,False,30f55284dd6c20d1ad072dc68ef12cb21ad00c426ff1d33e2d688c86bfd3ede5
candidate,6cec450baf7517436df6,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,47,147,9.59782537491992,False,063c1ae1984b4c1c935fef274642a0babfe184591329441270334a3a1cd90847
candidate,6cec450baf7517436df6,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,76,176,12.208254375029355,False,7f54205ded988bad0905009661d5b5c2402132a013740f2b89fda99c5fd6ab9e
candidate,6d6c0510303dec89b2fe,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,79,179,18.80936983297579,False,d0d6553f25a392af06ff6c0d644334e43fe19458c3d396a2599159f809a2afd0
candidate,6d6c0510303dec89b2fe,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,47,147,18.54660529200919,False,df5bc9d1622abe825148608a746ecb359234b60bc8f375799dbdbe2b023a9d6a
candidate,6d6c0510303dec89b2fe,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,77,177,13.55550295789726,False,6027fab5074c642143f2ae9ff91626185afee0f80471b1b218ca8d582fe6b033
candidate,6ee3c70647b37dcd5417,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,77,177,18.50556099996902,False,1a924f67366960d11daa178c781cfbd5d7ef57d832bd75083aa9978b68ec3f15
candidate,6ee3c70647b37dcd5417,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,47,147,17.202860375167802,False,66385db3c0ed6e7ba06f8e5a1cbec8f9084ddcb870dcd06d20f4594d7fb51dce
candidate,6ee3c70647b37dcd5417,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,76,176,22.343296708073467,False,2c0ae85f9d5a83c313ad87ad63c944b64e32075a4a5f897d83479fc97f4e8af3
candidate,78b04c44dfa852f4e621,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,295,395,44.583428791956976,False,1a40b9312b2f99a83485e30e9f10378bb8fc665730b9435e5823025b9708dc79
candidate,78b04c44dfa852f4e621,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,42,142,14.340891249943525,False,c1a03f146b586737c6df101970dd51d937f85b24e52c019effbeb86ead5d2a58
candidate,78b04c44dfa852f4e621,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,119,219,22.1467792079784,False,06d1788165d836f24a7e0dd058c01df40298a129cd249307fcd40f65e9d52ce9
candidate,7a0a82051f50d5b0c89c,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,80,180,15.645499124890192,False,430df5ac9e693055342fda2372789b2f77869ba102e2711a3b86794096da9587
