scope,outer_seed,method,metric,target,threshold,interpolated_labels,first_observed_labels,sustained_labels,status,censor_budget
seed,2357.0,static_lcmd,V2_RMSE,N95,4.222837252330358,,,,CENSORED,653.0
seed,2357.0,adaptive_lcmd,V1_MAE,Random@653,2.1469382290645753,413.18485841945324,429.0,429.0,REACHED,653.0
seed,2357.0,adaptive_lcmd,V1_MAE,N80,1.5518326149855872,,,,CENSORED,653.0
seed,2357.0,adaptive_lcmd,V1_MAE,N90,1.416703144537745,,,,CENSORED,653.0
seed,2357.0,adaptive_lcmd,V1_MAE,N95,1.349138409313824,,,,CENSORED,653.0
seed,2357.0,random,V1_MAE,Random@653,2.1469382290645753,574.8481673833861,589.0,653.0,REACHED,653.0
seed,2357.0,random,V1_MAE,N80,1.5518326149855872,,,,CENSORED,653.0
seed,2357.0,random,V1_MAE,N90,1.416703144537745,,,,CENSORED,653.0
seed,2357.0,random,V1_MAE,N95,1.349138409313824,,,,CENSORED,653.0
seed,2357.0,static_lcmd,V1_MAE,Random@653,2.1469382290645753,418.8293402279172,429.0,525.0,REACHED,653.0
seed,2357.0,static_lcmd,V1_MAE,N80,1.5518326149855872,,,,CENSORED,653.0
seed,2357.0,static_lcmd,V1_MAE,N90,1.416703144537745,,,,CENSORED,653.0
seed,2357.0,static_lcmd,V1_MAE,N95,1.349138409313824,,,,CENSORED,653.0
seed,2357.0,adaptive_lcmd,V2_MAE,Random@653,3.655584246134586,444.6054800864312,461.0,461.0,REACHED,653.0
seed,2357.0,adaptive_lcmd,V2_MAE,N80,2.648418102904761,647.0529828448703,653.0,653.0,REACHED,653.0
seed,2357.0,adaptive_lcmd,V2_MAE,N90,2.395544510093524,,,,CENSORED,653.0
seed,2357.0,adaptive_lcmd,V2_MAE,N95,2.2691077136879056,,,,CENSORED,653.0
seed,2357.0,random,V2_MAE,Random@653,3.655584246134586,520.489939376896,525.0,589.0,REACHED,653.0
seed,2357.0,random,V2_MAE,N80,2.648418102904761,,,,CENSORED,653.0
seed,2357.0,random,V2_MAE,N90,2.395544510093524,,,,CENSORED,653.0
seed,2357.0,random,V2_MAE,N95,2.2691077136879056,,,,CENSORED,653.0
seed,2357.0,static_lcmd,V2_MAE,Random@653,3.655584246134586,424.2151777388547,429.0,429.0,REACHED,653.0
seed,2357.0,static_lcmd,V2_MAE,N80,2.648418102904761,,,,CENSORED,653.0
seed,2357.0,static_lcmd,V2_MAE,N90,2.395544510093524,,,,CENSORED,653.0
seed,2357.0,static_lcmd,V2_MAE,N95,2.2691077136879056,,,,CENSORED,653.0
seed,2357.0,adaptive_lcmd,V1_R2,Random@653,0.6360681684636589,401.32909973727936,429.0,429.0,REACHED,653.0
seed,2357.0,adaptive_lcmd,V1_R2,N80,0.7974973033223441,511.07996526415104,525.0,525.0,REACHED,653.0
seed,2357.0,adaptive_lcmd,V1_R2,N90,0.8351609648601988,,,,CENSORED,653.0
seed,2357.0,adaptive_lcmd,V1_R2,N95,0.8539927956291261,,,,CENSORED,653.0
seed,2357.0,random,V1_R2,Random@653,0.6360681684636589,511.99138917079443,525.0,653.0,REACHED,653.0
seed,2357.0,random,V1_R2,N80,0.7974973033223441,,,,CENSORED,653.0
seed,2357.0,random,V1_R2,N90,0.8351609648601988,,,,CENSORED,653.0
seed,2357.0,random,V1_R2,N95,0.8539927956291261,,,,CENSORED,653.0
seed,2357.0,static_lcmd,V1_R2,Random@653,0.6360681684636589,413.55214318552396,429.0,429.0,REACHED,653.0
seed,2357.0,static_lcmd,V1_R2,N80,0.7974973033223441,,,,CENSORED,653.0
seed,2357.0,static_lcmd,V1_R2,N90,0.8351609648601988,,,,CENSORED,653.0
seed,2357.0,static_lcmd,V1_R2,N95,0.8539927956291261,,,,CENSORED,653.0
seed,2357.0,adaptive_lcmd,V2_R2,Random@653,0.7530623247307684,410.90874939358946,429.0,429.0,REACHED,653.0
seed,2357.0,adaptive_lcmd,V2_R2,N80,0.8595508998987454,518.9650725913491,525.0,525.0,REACHED,653.0
seed,2357.0,adaptive_lcmd,V2_R2,N90,0.8937368809959003,635.6830125556053,653.0,653.0,REACHED,653.0
seed,2357.0,adaptive_lcmd,V2_R2,N95,0.9108298715444778,,,,CENSORED,653.0
seed,2357.0,random,V2_R2,Random@653,0.7530623247307684,516.5482850146794,525.0,589.0,REACHED,653.0
seed,2357.0,random,V2_R2,N80,0.8595508998987454,,,,CENSORED,653.0
seed,2357.0,random,V2_R2,N90,0.8937368809959003,,,,CENSORED,653.0
seed,2357.0,random,V2_R2,N95,0.9108298715444778,,,,CENSORED,653.0
seed,2357.0,static_lcmd,V2_R2,Random@653,0.7530623247307684,413.1855638289913,429.0,429.0,REACHED,653.0
seed,2357.0,static_lcmd,V2_R2,N80,0.8595508998987454,,,,CENSORED,653.0
seed,2357.0,static_lcmd,V2_R2,N90,0.8937368809959003,,,,CENSORED,653.0
seed,2357.0,static_lcmd,V2_R2,N95,0.9108298715444778,,,,CENSORED,653.0
seed,6101.0,adaptive_lcmd,combined_normalized_RMSE,Random@653,0.7936594063169912,475.0331955967915,493.0,557.0,REACHED,653.0
seed,6101.0,adaptive_lcmd,combined_normalized_RMSE,N80,0.5904782450796815,609.4413543357136,621.0,621.0,REACHED,653.0
seed,6101.0,adaptive_lcmd,combined_normalized_RMSE,N90,0.5454481823993969,,,,CENSORED,653.0
seed,6101.0,adaptive_lcmd,combined_normalized_RMSE,N95,0.5229331510592545,,,,CENSORED,653.0
seed,6101.0,random,combined_normalized_RMSE,Random@653,0.7936594063169912,499.63544154270966,525.0,621.0,REACHED,653.0
seed,6101.0,random,combined_normalized_RMSE,N80,0.5904782450796815,,,,CENSORED,653.0
seed,6101.0,random,combined_normalized_RMSE,N90,0.5454481823993969,,,,CENSORED,653.0
seed,6101.0,random,combined_normalized_RMSE,N95,0.5229331510592545,,,,CENSORED,653.0
seed,6101.0,static_lcmd,combined_normalized_RMSE,Random@653,0.7936594063169912,491.41994510008243,493.0,493.0,REACHED,653.0
seed,6101.0,static_lcmd,combined_normalized_RMSE,N80,0.5904782450796815,651.6232957592503,653.0,653.0,REACHED,653.0
seed,6101.0,static_lcmd,combined_normalized_RMSE,N90,0.5454481823993969,,,,CENSORED,653.0
seed,6101.0,static_lcmd,combined_normalized_RMSE,N95,0.5229331510592545,,,,CENSORED,653.0
seed,6101.0,adaptive_lcmd,V1_RMSE,Random@653,4.7559430738105455,526.9736486776754,557.0,557.0,REACHED,653.0
seed,6101.0,adaptive_lcmd,V1_RMSE,N80,3.638304388945378,592.3875459709932,621.0,621.0,REACHED,653.0
