selection_order,pool_position,selected_from_center,largest_cluster_score,nearest_center_sq_distance_before_selection
139,2862,16,75122.77540310254,14765.419539590635
140,720,76,74066.90746946691,24689.14913434733
141,2071,262,73346.05541704828,3243.292702453615
142,1022,143,73263.48789547608,6187.424100829729
143,1897,241,71839.50273434722,2511.859181593278
144,1250,139,70165.62888963953,18478.842518160513
145,1912,35,69339.82956541811,6063.248080435325
146,2225,240,69252.2469677937,2430.708660879699
147,1938,392,69183.61727993232,23061.300989537674
148,2269,213,69144.01832724067,6371.915908406136
149,1673,188,68992.35527825268,34496.22143973218
150,198,125,68541.1920922359,13708.368898328044
151,2572,483,82711.4699918456,15609.508105543078
152,1719,195,68033.41782962729,11629.068947480519
153,927,276,67411.71346271063,14500.501166941893
154,1750,81,67409.60926611983,14735.518537656448
155,2153,63,66699.97893188725,8105.094985987031
156,1325,205,66236.17145075029,22868.244904387066
157,804,132,65073.26476990387,10409.152995712819
158,1727,317,65059.3203408422,2482.4312192694397
159,2876,14,64807.03836175798,8581.268835222683
160,2834,437,64689.33711196729,11472.507013354203
161,2738,10,64379.4484572036,16045.732200077902
162,1731,196,64328.181575482,21443.213920175374
163,1916,7,63825.26010783855,31912.730433359626
164,2785,311,63741.32302783503,14085.428040089828
165,1780,240,61960.20200430259,1700.2855530903275
166,1394,284,61524.2094385908,14782.618789571843
167,1578,307,61177.91206316772,15668.405434316082
168,1606,143,60888.70121364173,5756.986012895137
169,1685,388,60879.729977770985,20293.354806188814
170,770,47,60862.759455297826,5519.226229862895
171,1925,22,60683.004675439326,8681.867714373664
172,96,401,60638.86730403079,15159.738683640084
173,1381,475,60606.34951301517,9019.994566431073
174,1993,241,59680.658621493974,2179.4941840469482
175,2581,417,59298.87028471923,15759.860770457031
176,2793,45,58873.98918846095,9835.725486353938
177,2938,63,58594.88394590022,7375.436458104119
178,2796,333,58328.41935216851,19190.82200542814
179,2823,379,58186.70070738328,19395.67880712176
180,1486,471,57931.04339051992,9220.880827854297
181,1789,218,56845.69797615585,10307.16796027538
182,545,0,56586.62518370391,5877.549089536042
183,2735,299,56409.76952940293,10282.153633816371
184,2547,260,55586.76219693312,9595.987655611953
185,1517,59,55531.14290403398,5700.916107357851
186,1366,440,55234.91133869876,27617.59292778367
187,168,441,55226.31881069028,10777.988799084284
